('https://image1.ljcdn.com/440100-inspection/d69973c2-6a7e-47f9-9a0b-a5ddab1a5473.jpg.296x216.jpg', '中海金沙馨园 精装三房 交通便利', '中海金沙馨园二期  | 3室2厅 | 99平米 | 北 | 其他 | 有电梯', '高楼层(共18层)2008年建塔楼  -  金沙洲', '325万', '单价32829元/平米')
('https://image1.ljcdn.com/440100-inspection/029a5269-a8ef-4525-8cef-c6efeb734ece.jpg.296x216.jpg', '白云高尔夫花园东区 2室2厅 323万', '白云高尔夫花园东区  | 2室2厅 | 84.23平米 | 东 南 | 其他 | 有电梯', '中楼层(共11层)2002年建塔楼  -  黄石路', '323万', '单价38348元/平米')
('https://image1.ljcdn.com/440100-inspection/47f1068e-9d10-43be-a43b-8eb2b9a8a6b0.jpg.296x216.jpg', '白沙新村 2室1厅 175万', '白沙新村  | 2室1厅 | 66.74平米 | 东北 | 精装 | 无电梯', '中楼层(共9层)1998年建塔楼  -  机场路', '175万', '单价26222元/平米')
('https://image1.ljcdn.com/440100-inspection/175a9ba7-3fab-4c04-912a-4d08e12ab9a8.jpg.296x216.jpg', '金域蓝湾 证过五年 东南向望花园', '金域蓝湾  | 2室2厅 | 89.5平米 | 东南 | 其他 | 有电梯', '低楼层(共25层)2008年建塔楼  -  金沙洲', '410万', '单价45811元/平米')
('https://image1.ljcdn.com/440100-inspection/6e1f8748-2333-4856-b58b-fc5ec08c5e40.jpg.296x216.jpg', '雅怡花园 实用两房 格局方正', '雅怡花园  | 2室1厅 | 55.3平米 | 北 | 其他 | 无电梯', '低楼层(共9层)1998年建塔楼  -  同德围', '155万', '单价28029元/平米')
('https://image1.ljcdn.com/440100-inspection/4b51cc9e-8ec5-4184-8d64-723b63817962.jpg.296x216.jpg', '富力桃园 东南向望花园三房 通风采光好', '富力桃园  | 3室2厅 | 143平米 | 东南 | 其他 | 有电梯', '低楼层(共30层)2004年建塔楼  -  罗冲围', '500万', '单价34966元/平米')
('https://image1.ljcdn.com/440100-inspection/c32663e5-a98b-4a70-8044-64aa92bfe2a2.jpg.296x216.jpg', '富力桃园 舒适2房 采光通风好', '富力桃园  | 2室2厅 | 86平米 | 北 | 其他 | 有电梯', '低楼层(共30层)2004年建塔楼  -  罗冲围', '295万', '单价34303元/平米')
('https://image1.ljcdn.com/440100-inspection/590e7f5a-635a-4fa8-8a84-0348df0ef2c4.jpg.296x216.jpg', '金桂园小区 格局方正 采光好', '金桂园  | 3室2厅 | 118平米 | 北 | 其他', '低楼层(共15层)塔楼  -  桂花岗', '418万', '单价35424元/平米')
('https://image1.ljcdn.com/440100-inspection/3f9bac3e-cb97-4c62-a021-f4f31c21331d.jpg.296x216.jpg', '西槎路 丽康居 住家装修 诚意出售', '丽康居  | 3室2厅 | 92.79平米 | 南 | 其他 | 有电梯', '高楼层(共9层)2000年建塔楼  -  同德围', '260万', '单价28021元/平米')
('https://image1.ljcdn.com/440100-inspection/a8cc20ea-b881-4cf3-b90a-4e73269a9ef1.jpg.296x216.jpg', '白云尚城 中高层3房满五年 地铁江夏D口', '白云尚城  | 3室1厅 | 100.58平米 | 西南 | 精装 | 有电梯', '中楼层(共18层)2004年建塔楼  -  白云大道北', '460万', '单价45735元/平米')
('https://image1.ljcdn.com/440100-inspection/49184b0f-bfbb-46dc-840d-ccba2910edbf.jpg.296x216.jpg', '荷塘月色 电梯高层两房 视野好', '白云高尔夫花园荷塘月色  | 2室1厅 | 77平米 | 东北 | 其他 | 有电梯', '高楼层(共18层)2002年建塔楼  -  黄石路', '350万', '单价45455元/平米')
('https://image1.ljcdn.com/440100-inspection/a3b35673-44c7-4bd1-a64f-36163969acc9.jpg.296x216.jpg', '高尔夫西区 实用两房 户型方正', '白云高尔夫花园西区  | 2室1厅 | 63.49平米 | 东 | 其他 | 无电梯', '中楼层(共7层)1999年建板楼  -  黄石路', '215万', '单价33864元/平米')
('https://image1.ljcdn.com/440100-inspection/3bed5cf0-6472-4123-9bf0-743ff518f95d.jpg.296x216.jpg', '实用舒适户型 配套完善', '云景花园云景名都  | 3室2厅 | 95.8平米 | 南 | 其他 | 有电梯', '高楼层(共25层)2002年建塔楼  -  同和', '459.9万', '单价48000元/平米')
('https://image1.ljcdn.com/440100-inspection/fd23dfed-bcb7-45b0-a0cb-268cc25b44d0.jpg.296x216.jpg', '保利西海岸 精装修  南向单位', '保利西海岸星海花园  | 1室1厅 | 78平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2010年建塔楼  -  金沙洲', '250万', '单价32052元/平米')
('https://image1.ljcdn.com/440100-inspection/0dbf0446-a041-4849-9182-e157738270fd.jpg.296x216.jpg', '富力桃园D区精装两房 保养通', '富力桃园  | 2室2厅 | 91.6平米 | 北 | 其他 | 有电梯', '中楼层(共29层)2004年建塔楼  -  罗冲围', '350万', '单价38210元/平米')
('https://image1.ljcdn.com/440100-inspection/5a80c7d6-20ab-4ec1-82b1-b19d9613dab3.jpg.296x216.jpg', '御金沙园 精装三房 户型对流 带花园', '浔峰御金沙园  | 3室2厅 | 104平米 | 南 | 其他 | 有电梯', '低楼层(共25层)2011年建塔楼  -  金沙洲', '450万', '单价43270元/平米')
('https://image1.ljcdn.com/440100-inspection/172d3dcc-adfa-45b6-b157-43b5195aed00.jpg.296x216.jpg', '万科金域蓝湾 三期高层望江 装修新保养好', '金域蓝湾  | 3室2厅 | 98.29平米 | 东南 | 其他 | 有电梯', '高楼层(共34层)2008年建塔楼  -  金沙洲', '435万', '单价44257元/平米')
('https://image1.ljcdn.com/440100-inspection/0fec8df1-9631-4793-96a0-91e2efdba467.jpg.296x216.jpg', '白云荷塘月色高层南向4房 格局方正实用', '白云高尔夫花园荷塘月色  | 3室2厅 | 127.57平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2007年建塔楼  -  黄石路', '630万', '单价49385元/平米')
('https://image1.ljcdn.com/440100-inspection/c3e7e4e5-a5ad-4aff-9d10-fe01d531b89f.jpg.296x216.jpg', '金碧新城 厅出阳台 两房', '金碧新城  | 2室1厅 | 72平米 | 北 | 精装 | 有电梯', '低楼层(共18层)2005年建塔楼  -  石井', '240万', '单价33334元/平米')
('https://image1.ljcdn.com/440100-inspection/34f35d60-985c-46b6-bcb3-60dff2d08349.jpg.296x216.jpg', '云苑新村 格局方正 采光通风', '广园云苑新村  | 2室1厅 | 52.54平米 | 北 | 其他 | 无电梯', '高楼层(共9层)1999年建塔楼  -  广园路', '150万', '单价28550元/平米')
('https://image1.ljcdn.com/440100-inspection/9c2fadf7-e632-4483-9f6d-31a2566aeca9.jpg.296x216.jpg', '岭南新世界 锦云峰南向三房 高层', '岭南新世界锦云峰  | 3室2厅 | 94.77平米 | 南 | 其他 | 有电梯', '高楼层(共32层)2013年建塔楼  -  白云大道北', '508万', '单价53604元/平米')
('https://image1.ljcdn.com/440100-inspection/bee2a7cc-76d5-4ec1-b877-c9fd2126e733.jpg.296x216.jpg', '岭南新世界 锦云峰 南向三房', '岭南新世界锦云峰  | 3室2厅 | 102平米 | 南 | 精装 | 有电梯', '低楼层(共32层)2013年建塔楼  -  白云大道北', '500万', '单价49020元/平米')
('https://image1.ljcdn.com/440100-inspection/9f61539a-557d-437b-b826-bf02bc7a743e.jpg.296x216.jpg', '岭南新世界锦云峰 中层两房', '岭南新世界锦云峰  | 2室1厅 | 81平米 | 北 | 其他 | 有电梯', '低楼层(共30层)2013年建塔楼  -  白云大道北', '355万', '单价43828元/平米')
('https://image1.ljcdn.com/440100-inspection/e6a8f33c-7769-449c-815b-a2c1bead4160.jpg.296x216.jpg', '香柏广场 电梯三房 户型方正', '恒骏花园香柏广场  | 3室2厅 | 92平米 | 西北 | 其他 | 有电梯', '中楼层(共30层)2010年建塔楼  -  同和', '530万', '单价57609元/平米')
('https://image1.ljcdn.com/440100-inspection/cb6a26da-0e29-4bb1-8275-ae53b324b013.jpg.296x216.jpg', '岭南雅院 电梯楼 舒适大三房', '岭南雅院  | 3室1厅 | 95.52平米 | 东 | 其他 | 有电梯', '低楼层(共9层)2007年建塔楼  -  同德围', '420万', '单价43970元/平米')
('https://image1.ljcdn.com/440100-inspection/615c4717-f59d-4d86-b85c-956930aafb1d.jpg.296x216.jpg', '白云雅苑 间隔方正 采光通风好', '白云雅苑云雅五街  | 2室1厅 | 66.9平米 | 南 | 其他 | 无电梯', '中楼层(共9层)2006年建塔楼  -  同德围', '203万', '单价30344元/平米')
('', '同德花园 低楼层 通风采光好', '同德花园同景街  | 3室2厅 | 93.27平米 | 南 | 其他 | 无电梯', '中楼层(共8层)1998年建塔楼  -  同德围', '250万', '单价26804元/平米')
('https://image1.ljcdn.com/440100-inspection/58c52739-2ea3-4833-a612-a5b19a499147.jpg.296x216.jpg', '集贤苑 南向实用三房', '集贤苑  | 3室2厅 | 85平米 | 南 | 其他 | 有电梯', '低楼层(共11层)1999年建塔楼  -  白云大道北', '269万', '单价31648元/平米')
('https://image1.ljcdn.com/440100-inspection/55dfe359-0591-43b6-8ae3-44ee25bcb90e.JPG.296x216.jpg', '云苑新村 实用一房 格局方正', '广园云苑新村  | 1室0厅 | 29平米 | 南 | 其他 | 无电梯', '中楼层(共9层)1999年建塔楼  -  广园路', '88万', '单价30345元/平米')
('https://image1.ljcdn.com/440100-inspection/936b4ae9-0bc1-4ce3-91d5-b9d44f154e2f.jpg.296x216.jpg', '时代花生 景观楼层 安静看花园', '时代花生Ⅱ  | 4室2厅 | 122平米 | 南 | 其他', '中楼层(共32层)塔楼  -  同和', '535万', '单价43853元/平米')
('https://image1.ljcdn.com/440100-inspection/916558f3-fe97-476f-a3a7-1e8f6ecb88d6.jpg.296x216.jpg', '时代花生2 南向方正 精致4房', '时代花生Ⅱ  | 4室1厅 | 121.58平米 | 南 | 其他', '低楼层(共32层)塔楼  -  同和', '524万', '单价43100元/平米')
('https://image1.ljcdn.com/440100-inspection/e113cd3f-c5f3-49fa-bde0-2e54f4e05d55.jpg.296x216.jpg', '恒德苑 四房 通风采光好', '恒德苑  | 4室1厅 | 90平米 | 南 | 其他 | 无电梯', '高楼层(共9层)1997年建塔楼  -  同德围', '180万', '单价20000元/平米')
('https://image1.ljcdn.com/440100-inspection/9efda45b-5c8d-43ea-90c9-9e8fba1ffed6.jpg.296x216.jpg', '保利珑熙 新净大三房 精装交楼 未入住', '保利珑熙  | 3室2厅 | 119平米 | 东南 | 其他', '中楼层(共23层)塔楼  -  罗冲围', '530万', '单价44538元/平米')
('https://image1.ljcdn.com/440100-inspection/385ceade-0980-4cdf-b283-852eaa026cca.jpg.296x216.jpg', '白云新城荷塘月色3房 带车位 配套成熟', '白云高尔夫花园荷塘月色  | 3室2厅 | 140.32平米 | 南 北 | 精装 | 有电梯', '中楼层(共25层)2002年建塔楼  -  黄石路', '675万', '单价48105元/平米')
('https://image1.ljcdn.com/440100-inspection/b9bb9f40-e495-4bbc-ab21-993f3279d952.jpg.296x216.jpg', '云山雅苑 主套三房 小区靓户型', '云山雅苑  | 3室2厅 | 118平米 | 东南 | 其他 | 有电梯', '中楼层(共18层)2008年建塔楼  -  广园路', '750万', '单价63560元/平米')
('https://image1.ljcdn.com/440100-inspection/0c86fafa-5e37-41ef-bc70-af3ac61e1353.jpg.296x216.jpg', '汇侨蓝天丽境 南向三房 厅出阳台', '汇侨新城蓝天丽境  | 3室2厅 | 122.67平米 | 东南 | 其他 | 有电梯', '中楼层(共18层)2000年建塔楼  -  新市', '420万', '单价34239元/平米')
('https://image1.ljcdn.com/440100-inspection/20fbcfc4-56e6-4760-85ec-d80a9a4bc166.jpg.296x216.jpg', '富力半岛花园 望江四房 视野开阔', '富力半岛花园  | 4室2厅 | 122平米 | 西南 | 其他 | 有电梯', '低楼层(共27层)2003年建塔楼  -  罗冲围', '410万', '单价33607元/平米')
('https://image1.ljcdn.com/440100-inspection/6c7aa88e-6ed3-47c8-b878-e57235ebb435.jpg.296x216.jpg', '黄石花园 电梯两房 两套打通 可分开卖', '黄石花园黄园二街  | 5室1厅 | 78.72平米 | 东 | 其他 | 有电梯', '高楼层(共14层)1997年建塔楼  -  黄石路', '213万', '单价27058元/平米')
('https://image1.ljcdn.com/440100-inspection/539dc999-5431-4f25-b2d2-9ae7f2438731.jpg.296x216.jpg', '万科金域蓝湾 精装3房 保养新净', '金域蓝湾  | 3室2厅 | 97平米 | 东北 | 其他 | 有电梯', '中楼层(共34层)2008年建塔楼  -  金沙洲', '439万', '单价45258元/平米')
('https://image1.ljcdn.com/440100-inspection/71181036-f178-4437-9491-8675bcb1c656.jpg.296x216.jpg', '云枫苑 安静望花园 交通便利', '云景花园云枫苑  | 3室2厅 | 113.6平米 | 北 | 其他 | 有电梯', '中楼层(共11层)2002年建塔楼  -  同和', '580万', '单价51057元/平米')
('https://image1.ljcdn.com/440100-inspection/dd72229d-70e5-46bb-8373-e222587106a5.jpg.296x216.jpg', '云景名都 电梯三房 户型方正', '云景花园云景名都  | 3室2厅 | 123.14平米 | 东 | 其他 | 有电梯', '低楼层(共25层)2002年建塔楼  -  同和', '638万', '单价51811元/平米')
('https://image1.ljcdn.com/440100-inspection/dbd73e7f-badc-4001-a101-49bb69315db3.jpg.296x216.jpg', '紫荆花园 电梯复式 精致四房', '紫荆花园  | 4室3厅 | 157平米 | 南 北 | 其他 | 有电梯', '高楼层(共11层)2000年建塔楼  -  新市', '500万', '单价31848元/平米')
('https://image1.ljcdn.com/440100-inspection/a5c4db1d-e9c6-4a67-8d92-a9b85fdcdf51.jpg.296x216.jpg', '云景花园 电梯复式四房 安静看花园', '云景花园云桦苑  | 4室2厅 | 175平米 | 南 | 其他 | 有电梯', '高楼层(共10层)2002年建塔楼  -  同和', '730万', '单价41715元/平米')
('https://image1.ljcdn.com/440100-inspection/cce7204f-2cca-43ad-87e0-2d2e38033cdd.jpg.296x216.jpg', '紫荆花园 电梯顶层复式 空中花园 三房', '紫荆花园  | 3室2厅 | 132.16平米 | 西北 | 其他 | 有电梯', '高楼层(共11层)2000年建塔楼  -  新市', '475万', '单价35942元/平米')
('https://image1.ljcdn.com/440100-inspection/ac20b0bd-e4b3-453b-9363-a60c8d14eec3.jpg.296x216.jpg', '御金沙 交通便利 精装三房', '浔峰御金沙园  | 3室2厅 | 120平米 | 东南 | 其他 | 有电梯', '低楼层(共25层)2011年建塔楼  -  金沙洲', '500万', '单价41667元/平米')
('https://image1.ljcdn.com/440100-inspection/6676f967-aef1-4ed5-aec3-76fc61940597.jpg.296x216.jpg', '纵横缤城 电梯四房 装修好', '纵横缤城  | 4室2厅 | 162.01平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2009年建塔楼  -  新市', '600万', '单价37035元/平米')
('https://image1.ljcdn.com/440100-inspection/bacbebfe-d9c3-481d-8803-2eb4d9fdd007.jpg.296x216.jpg', '高尔夫花园东区，电梯精装大三房 看花园', '白云高尔夫花园东区  | 4室2厅 | 159平米 | 南 | 简装 | 有电梯', '低楼层(共14层)2002年建塔楼  -  黄石路', '580万', '单价36478元/平米')
('https://image1.ljcdn.com/440100-inspection/70320576-3015-4198-9c34-8b84ca2da833.jpg.296x216.jpg', '紫薇花园 电梯高层 实用四房 厅出阳台', '紫薇花园  | 4室2厅 | 129平米 | 东南 | 简装 | 有电梯', '中楼层(共22层)2006年建塔楼  -  新市', '580万', '单价44962元/平米')
('https://image1.ljcdn.com/440100-inspection/33453300-3c1f-42cd-a995-7b9f680bbb7d.jpg.296x216.jpg', '山水庭院 北向四房 望湖景 电梯房 户型方正', '山水庭苑  | 4室2厅 | 220.4平米 | 北 | 精装 | 有电梯', '高楼层(共7层)2007年建塔楼  -  南湖', '848万', '单价38476元/平米')
('https://image1.ljcdn.com/440100-inspection/0195473d-db09-430d-9ae5-3f68b9923b18.jpg.296x216.jpg', '香柏广场 电梯高层三房 带30方大露台', '恒骏花园香柏广场  | 3室2厅 | 99.54平米 | 西北 | 其他 | 有电梯', '高楼层(共30层)2010年建塔楼  -  同和', '550万', '单价55255元/平米')
('https://image1.ljcdn.com/440100-inspection/f68471cb-8b4f-4107-9bc2-1a260d66811e.jpg.296x216.jpg', '香柏广场 电梯高层 实用三房', '恒骏花园香柏广场  | 3室2厅 | 92平米 | 北 | 其他 | 有电梯', '高楼层(共30层)2010年建塔楼  -  同和', '506万', '单价55000元/平米')
('https://image1.ljcdn.com/440100-inspection/ec972760-694b-4bba-a221-3f12993714ed.jpg.296x216.jpg', '恒大御景半岛 140平米 高层望江大三房', '恒大御景半岛  | 3室2厅 | 140.1平米 | 南 | 其他 | 有电梯', '高楼层(共31层)2007年建塔楼  -  金沙洲', '388万', '单价27695元/平米')
('https://image1.ljcdn.com/440100-inspection/b27f5d0f-3557-4ec6-9107-c8a3cba54471.jpg.296x216.jpg', '御金沙复试叠墅 南向中层 新未住过', '浔峰御金沙园  | 4室2厅 | 201.5平米 | 东南 | 其他', '7层暂无数据  -  金沙洲', '950万', '单价47147元/平米')
('https://image1.ljcdn.com/440100-inspection/352f2f11-538c-450b-bf2f-d08ce8be523b.jpg.296x216.jpg', '万科峯境 格局方正 小区管理 带车位', '万科峯境  | 4室2厅 | 135平米 | 南 北 | 其他', '高楼层(共17层)塔楼  -  白云大道南', '860万', '单价63704元/平米')
('https://image1.ljcdn.com/440100-inspection/3ac94bf5-350f-474d-8922-5eedb144198d.jpg.296x216.jpg', '黄石花园 电梯三房 两套打通 可分开卖', '黄石花园黄园二街  | 5室1厅 | 109.75平米 | 东 | 其他 | 有电梯', '高楼层(共14层)1997年建塔楼  -  黄石路', '295万', '单价26880元/平米')
('https://image1.ljcdn.com/440100-inspection/95caa8df-cd23-4379-b853-c5ff57037020.jpg.296x216.jpg', '东湖映月 低层四房 精致装修 安静舒适', '东湖映月  | 4室2厅 | 128.6平米 | 南 | 精装 | 有电梯', '低楼层(共29层)2012年建塔楼  -  白云大道北', '370万', '单价28772元/平米')
('https://image1.ljcdn.com/440100-inspection/997688d6-49ed-4543-a901-492d9b161ee4.jpg.296x216.jpg', '东湖映月 实用4房 采光好', '东湖映月  | 4室1厅 | 176平米 | 南 | 其他 | 有电梯', '低楼层(共7层)2012年建塔楼  -  白云大道北', '490万', '单价27841元/平米')
('https://image1.ljcdn.com/440100-inspection/5e5b7a3f-4ed2-43d3-94f5-4c10a72efdd4.jpg.296x216.jpg', '嘉汇城 精装修 南北对流 位置安静', '嘉汇城  | 4室2厅 | 146.85平米 | 南 北 | 其他', '中楼层(共32层)2016年建塔楼  -  人和', '280万', '单价19068元/平米')
('https://image1.ljcdn.com/440100-inspection/4c797c5e-051e-4096-93f3-ecc84b44b906.jpg.296x216.jpg', '时代糖果 温馨两房 格局方正 交通方便', '时代糖果三期  | 2室1厅 | 75.84平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2008年建塔楼  -  金沙洲', '165万', '单价21757元/平米')
('https://image1.ljcdn.com/440100-inspection/f4bc1b78-19bf-4ed7-9c6f-18fc1b171893.jpg.296x216.jpg', '白云新兴花园中层3房 地铁黄边900米', '新兴白云花园乐居大街  | 3室2厅 | 82.54平米 | 西北 | 其他 | 无电梯', '中楼层(共9层)1999年建塔楼  -  白云大道北', '238万', '单价28835元/平米')
('https://image1.ljcdn.com/440100-inspection/25a02be4-1ef4-48be-9fbf-49d3bcc8e2d4.jpg.296x216.jpg', '万科蓝山 南湖版块安静住家小高层三房', '万科蓝山  | 3室1厅 | 135平米 | 西 | 其他 | 无电梯', '中楼层(共4层)2007年建板楼  -  南湖', '450万', '单价33334元/平米')
('https://image1.ljcdn.com/440100-inspection/717c0ce4-b275-4030-9152-32b8025393ef.jpg.296x216.jpg', '天河御品 精装两房 中高层南向', '天河御品  | 2室2厅 | 80.93平米 | 南 | 精装 | 有电梯', '低楼层(共25层)2010年建塔楼  -  同和', '385万', '单价47572元/平米')
('https://image1.ljcdn.com/440100-inspection/b6717086-e872-4f7c-8e7b-8463cdd48e06.jpg.296x216.jpg', '御金沙 精装修 三房两厅 采光好', '浔峰御金沙园  | 3室2厅 | 111.95平米 | 北 | 精装 | 有电梯', '低楼层(共25层)2015年建塔楼  -  金沙洲', '395万', '单价35284元/平米')
('https://image1.ljcdn.com/440100-inspection/34114517-ae8d-4b75-9b77-a37bbf9092cd.jpg.296x216.jpg', '金域蓝湾 温馨两房 装修保养好 望花园', '金域蓝湾  | 2室2厅 | 75平米 | 西北 | 简装 | 有电梯', '中楼层(共19层)2008年建塔楼  -  金沙洲', '320万', '单价42667元/平米')
('https://image1.ljcdn.com/440100-inspection/51a99d79-ce2a-4eac-b6e9-82a943fd7b59.jpg.296x216.jpg', '南湖半岛花园 高层四房 位置安静', '雅居乐南湖半岛花园  | 4室2厅 | 140平米 | 西 | 其他 | 有电梯', '高楼层(共10层)2003年建塔楼  -  南湖', '650万', '单价46429元/平米')
('https://image1.ljcdn.com/440100-inspection/fd2af552-6810-4164-8fb2-4c982211553b.jpg.296x216.jpg', '汇侨新城 蓝天丽境', '汇侨新城蓝天丽境  | 2室1厅 | 87.72平米 | 北 | 精装 | 有电梯', '中楼层(共18层)2000年建塔楼  -  新市', '320万', '单价36480元/平米')
('https://image1.ljcdn.com/440100-inspection/b21fda84-ed99-48d9-b6e6-f566ef0df48c.jpg.296x216.jpg', '南湖半岛花园 望花园 户型方正 带车位', '雅居乐南湖半岛花园  | 4室2厅 | 144.75平米 | 北 | 其他 | 有电梯', '中楼层(共18层)2003年建塔楼  -  南湖', '540万', '单价37306元/平米')
('https://image1.ljcdn.com/440100-inspection/631247d6-98e6-4662-993d-909be3c90efa.jpg.296x216.jpg', '时代玫瑰园 温馨两房 望花园 位置安静', '时代玫瑰园  | 2室1厅 | 70.74平米 | 西北 | 精装 | 有电梯', '高楼层(共13层)2004年建塔楼  -  白云大道北', '283万', '单价40006元/平米')
('https://image1.ljcdn.com/440100-inspection/9a17a615-ec35-402d-8f29-2c6df2e0fb2c.jpg.296x216.jpg', '汇侨新城 电梯大三房 带阳台 采光好', '汇侨新城南区  | 3室2厅 | 115平米 | 东 | 精装 | 有电梯', '中楼层(共17层)2000年建塔楼  -  新市', '360万', '单价31305元/平米')
('https://image1.ljcdn.com/440100-inspection/b7c8957a-c9d4-473b-9fec-3e25c86e8d37.jpg.296x216.jpg', '合一国际 南向望花园 品质小区', '合一国际  | 2室2厅 | 85平米 | 南 | 精装 | 有电梯', '高楼层(共23层)2006年建塔楼  -  同和', '360万', '单价42353元/平米')
('https://image1.ljcdn.com/440100-inspection/7710e15d-c5dc-4b2f-bdf0-9768d573966c.jpg.296x216.jpg', '祥景花园A区 温馨两房 安静舒适', '祥景花园  | 2室1厅 | 51平米 | 北 | 简装 | 无电梯', '高楼层(共9层)2000年建塔楼  -  黄石路', '126万', '单价24706元/平米')
('https://image1.ljcdn.com/440100-inspection/b622c28f-d226-4808-abc1-faf0403e323c.jpg.296x216.jpg', '三元里大道 侨爱苑 精致三房 通风采光好', '侨爱苑  | 3室2厅 | 77.47平米 | 西 | 其他 | 无电梯', '低楼层(共9层)1995年建塔楼  -  机场路', '265万', '单价34207元/平米')
('', '南湖半岛花园 北向 户型方正', '雅居乐南湖半岛花园  | 6室2厅 | 217.23平米 | 北 | 其他 | 有电梯', '高楼层(共11层)2003年建塔楼  -  南湖', '900万', '单价41431元/平米')
('https://image1.ljcdn.com/440100-inspection/491d4521-7dd2-49d7-a6ae-703724d2d622.jpg.296x216.jpg', '汇侨新城 温馨三房 实用舒适', '汇侨新城蓝天丽境  | 3室2厅 | 107.4平米 | 西北 | 精装 | 有电梯', '高楼层(共18层)2000年建塔楼  -  新市', '358万', '单价33334元/平米')
('https://image1.ljcdn.com/440100-inspection/75affc04-de5b-4ce2-9938-00b0d6c88e31.jpg.296x216.jpg', '升平楼 2房精装修带主套', '升平楼  | 2室1厅 | 101平米 | 东北 | 精装 | 无电梯', '高楼层(共9层)2003年建塔楼  -  石井', '300万', '单价29703元/平米')
('https://image1.ljcdn.com/440100-inspection/aad8a07d-42b6-4a5b-a31e-342ba91fece0.jpg.296x216.jpg', '翠逸家园 精装两房 高楼层 景观好望花园', '翠逸家园  | 2室2厅 | 82平米 | 西南 | 简装 | 有电梯', '中楼层(共17层)2000年建塔楼  -  机场路', '352.6万', '单价43000元/平米')
('https://image1.ljcdn.com/440100-inspection/19854fd7-85d3-47bb-8cc3-9b475ef2d354.jpg.296x216.jpg', '盈翠华庭 精致装修 楼梯两房 户型方正', '盈翠华庭  | 2室1厅 | 65.91平米 | 西 | 其他 | 无电梯', '中楼层(共7层)2001年建塔楼  -  广园路', '290万', '单价44000元/平米')
('https://image1.ljcdn.com/440100-inspection/271a6693-aa4a-4ae1-be2c-072a7edbbfb7.JPG.296x216.jpg', '万科爱地 温馨舒适  东北向望花园', '万科爱地住宅区  | 2室1厅 | 58.65平米 | 东北 | 其他 | 有电梯', '中楼层(共13层)2000年建塔楼  -  金沙洲', '195万', '单价33249元/平米')
('https://image1.ljcdn.com/440100-inspection/e88782fc-f1fe-4d2b-a771-2710a2105609.jpg.296x216.jpg', '富力碧涛湾 实用两房', '富力碧涛湾  | 2室2厅 | 69平米 | 东南 | 简装 | 有电梯', '中楼层(共26层)2000年建塔楼  -  罗冲围', '280万', '单价40580元/平米')
('https://image1.ljcdn.com/440100-inspection/bedda0d8-2b02-48e9-8b68-1de4906c7e78.JPG.296x216.jpg', '百顺台花园 2室1厅 230万', '百顺台花园  | 2室1厅 | 68.49平米 | 西北 | 其他 | 有电梯', '低楼层(共15层)2003年建塔楼  -  新市', '230万', '单价33582元/平米')
('https://image1.ljcdn.com/440100-inspection/c4986995-1140-49c0-8d3f-9c13dca66378.jpg.296x216.jpg', '金碧雅苑 实用两房 通风采光好', '金碧雅苑  | 2室2厅 | 67.54平米 | 西南 | 精装 | 有电梯', '高楼层(共18层)2005年建塔楼  -  白云大道北', '265万', '单价39237元/平米')
('https://image1.ljcdn.com/440100-inspection/65dd6b48-f381-483a-8829-300962297aab.jpg.296x216.jpg', '华兴苑 小区两房 户型方正', '华兴苑  | 2室1厅 | 64.09平米 | 南 北 | 其他 | 无电梯', '中楼层(共8层)1995年建塔楼  -  广园路', '218万', '单价34015元/平米')
('https://image1.ljcdn.com/440100-inspection/8f70c81c-63da-4a92-a3f4-2228423be5f7.jpg.296x216.jpg', '尚山佳境 电梯三房 采光通风 舒适实用', '尚山佳境  | 3室2厅 | 92平米 | 南 | 其他 | 有电梯', '低楼层(共9层)2006年建塔楼  -  大金钟', '500万', '单价54348元/平米')
('https://image1.ljcdn.com/440100-inspection/f4bbf4a9-cec4-4e69-99b7-edf11e34e787.JPG.296x216.jpg', '云西小区 低层两房 带花园 格局方正 采光通风', '云西小区云西一街  | 2室1厅 | 58.68平米 | 东北 | 其他 | 无电梯', '低楼层(共9层)1996年建塔楼  -  广园路', '200万', '单价34084元/平米')
('https://image1.ljcdn.com/440100-inspection/35e8a358-a8b5-4c85-8c26-ea0fed29d0c9.JPG.296x216.jpg', '纵横缤城 电梯高层 方正实用', '纵横缤城  | 2室1厅 | 82平米 | 南 北 | 精装 | 有电梯', '高楼层(共23层)2009年建塔楼  -  新市', '320万', '单价39025元/平米')
('https://image1.ljcdn.com/440100-inspection/d442e008-0b06-4217-9584-db3a62c166e4.jpg.296x216.jpg', '汇雅花园 实用三房 生活配套齐', '汇雅花园  | 3室1厅 | 80.07平米 | 东南 | 其他 | 无电梯', '低楼层(共7层)1996年建塔楼  -  白云大道北', '215万', '单价26852元/平米')
('https://image1.ljcdn.com/440100-inspection/680ea77d-3e0f-4a39-b4f6-1681845e684a.jpg.296x216.jpg', '紫薇花园 3房2厅 430万元', '紫薇花园  | 3室2厅 | 105.44平米 | 北 | 精装 | 有电梯', '低楼层(共18层)2006年建塔楼  -  新市', '430万', '单价40782元/平米')
