('https://image1.ljcdn.com/440100-inspection/6b573c3a-c4c0-4c40-b022-71347142fc48.jpg.296x216.jpg', '凤凰城凤仪苑经典四房', '碧桂园凤凰城凤仪苑  | 4室2厅 | 136.93平米 | 东北 | 精装 | 无电梯', '高楼层(共6层)2002年建塔楼  -  凤凰城', '280万', '单价20449元/平米')
('https://image1.ljcdn.com/440100-inspection/0366f084-90b8-404c-913e-6fb30c1b658e.jpg.296x216.jpg', '新塘新世界花园嘉怡苑 3室2厅 190万', '新塘新世界花园嘉怡苑  | 3室2厅 | 93.15平米 | 南 | 其他 | 无电梯', '高楼层(共6层)塔楼  -  新塘', '190万', '单价20398元/平米')
('https://image1.ljcdn.com/440100-inspection/aebdd5e7-69f2-4a6c-a739-3f825326c3b2.jpg.296x216.jpg', '锦绣天伦花园精装高楼层 大单间', '锦绣天伦花园  | 1室0厅 | 45.89平米 | 南 | 其他 | 有电梯', '高楼层(共32层)2014年建塔楼  -  新塘', '110万', '单价23971元/平米')
('https://image1.ljcdn.com/440100-inspection/9b4430cb-eb23-4c5f-88fe-fee5d7be392f.jpg.296x216.jpg', '凤锦苑精装高层大三房 保养新净', '碧桂园凤凰城凤锦苑  | 3室2厅 | 118.03平米 | 北 | 其他 | 有电梯', '高楼层(共26层)2002年建塔楼  -  凤凰城', '315万', '单价26689元/平米')
('https://image1.ljcdn.com/440100-inspection/28c514d3-687e-4937-a751-9d3c0dfa653a.jpg.296x216.jpg', '电信宿舍楼 精装楼梯三房', '电信局宿舍  | 3室2厅 | 106平米 | 东 | 其他', '高楼层(共8层)塔楼  -  新塘', '130万', '单价12265元/平米')
('https://image1.ljcdn.com/440100-inspection/2e304412-17d1-4d1d-8a2f-3572d51056e0.jpg.296x216.jpg', '尚东阳光 精装三房 环境舒适', '尚东阳光雅苑  | 3室2厅 | 106.63平米 | 南 | 其他 | 有电梯', '低楼层(共30层)塔楼  -  新塘', '255万', '单价23915元/平米')
('https://image1.ljcdn.com/440100-inspection/87060641-93b8-4c33-92da-f8fe5633f26d.jpg.296x216.jpg', '翡翠绿洲森林半岛 精装修大两房 花园洋房', '翡翠绿洲森林半岛  | 2室2厅 | 101.26平米 | 东 | 其他 | 有电梯', '高楼层(共24层)2011年建塔楼  -  凤凰城', '240万', '单价23702元/平米')
('https://image1.ljcdn.com/440100-inspection/7fc78c72-9664-4eae-bf3c-5ccca90baee4.jpg.296x216.jpg', '新世界花园 万象苑 高层东南向两房', '新塘新世界花园万象苑  | 2室2厅 | 79平米 | 东南 | 其他 | 有电梯', '高楼层(共18层)2012年建塔楼  -  新塘', '220万', '单价27849元/平米')
('https://image1.ljcdn.com/440100-inspection/2485832d-eaf7-43db-a0d3-78cfe3f65174.jpg.296x216.jpg', '碧桂园凤凰城凤馨苑 3室2厅 238万', '碧桂园凤凰城凤馨苑  | 3室2厅 | 93.28平米 | 北 | 其他 | 有电梯', '高楼层(共18层)2002年建塔楼  -  凤凰城', '238万', '单价25515元/平米')
('https://image1.ljcdn.com/440100-inspection/4495780c-880e-41c2-bae5-467eecddf751.jpg.296x216.jpg', '广州海伦堡 3室3厅 320万', '广州海伦堡  | 3室3厅 | 153平米 | 东南 南 | 其他 | 有电梯', '高楼层(共11层)2008年建塔楼  -  新塘', '320万', '单价20916元/平米')
('https://image1.ljcdn.com/440100-inspection/e8f60d6e-569f-43b1-8760-a5f27333c72f.jpg.296x216.jpg', '新都盛世名门 3室2厅 327万', '新都盛世名门  | 3室2厅 | 130.04平米 | 东北 | 其他 | 有电梯', '低楼层(共11层)2012年建塔楼  -  新塘', '327万', '单价25147元/平米')
('https://image1.ljcdn.com/440100-inspection/abcfd1c0-ebdf-41c4-80fa-fd846a0ef8b6.jpg.296x216.jpg', '碧桂园凤凰城 3房2厅 265万元', '碧桂园凤凰城凤馨苑  | 3室2厅 | 98平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2002年建塔楼  -  凤凰城', '265万', '单价27041元/平米')
('https://image1.ljcdn.com/440100-inspection/e894aba2-dd8f-4a34-9795-b781e2ae700e.jpg.296x216.jpg', '新塘新世界花园万象苑 4室2厅 382万', '新塘新世界花园万象苑  | 4室2厅 | 146.82平米 | 南 | 其他 | 有电梯', '高楼层(共20层)2009年建塔楼  -  新塘', '382万', '单价26019元/平米')
('https://image1.ljcdn.com/440100-inspection/f07386ca-e3a5-48ec-b710-bb2b3c91cf21.jpg.296x216.jpg', '新世界花园 南向精装两房 拎包入住', '新塘新世界花园嘉华苑  | 2室2厅 | 74.34平米 | 南 | 其他 | 无电梯', '高楼层(共7层)塔楼  -  新塘', '169万', '单价22734元/平米')
('https://image1.ljcdn.com/440100-inspection/732c2085-eaef-48c8-94d3-9dc39f77b9fa.jpg.296x216.jpg', '凤凰城凤仪苑 中间楼层 视野好 格局方正', '碧桂园凤凰城凤仪苑  | 3室2厅 | 99.27平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2002年建塔楼  -  凤凰城', '230万', '单价23170元/平米')
('https://image1.ljcdn.com/440100-inspection/d717711e-a483-465e-98bc-6ca90d2a2e85.jpg.296x216.jpg', '凤馨苑 南向两房 近门岗', '碧桂园凤凰城凤馨苑  | 2室2厅 | 90.92平米 | 南 | 其他 | 有电梯', '低楼层(共11层)2002年建塔楼  -  凤凰城', '236万', '单价25957元/平米')
('https://image1.ljcdn.com/440100-inspection/26bfe3c5-9e91-4a0d-9a35-fbb2c8baceca.jpg.296x216.jpg', '富城花园电梯高楼层精装南向三房两厅两卫满两年无按揭', '富城花园  | 3室2厅 | 135.44平米 | 南 | 精装 | 有电梯', '高楼层(共15层)塔楼  -  新塘', '220万', '单价16244元/平米')
('https://image1.ljcdn.com/440100-inspection/d53385a6-1696-4837-8d74-43aa32fd74e2.jpg.296x216.jpg', '新世界花园 精装四房 环境舒', '新塘新世界花园万象苑  | 4室2厅 | 146.57平米 | 南 | 其他 | 有电梯', '中楼层(共22层)2009年建塔楼  -  新塘', '388万', '单价26472元/平米')
('https://image1.ljcdn.com/440100-inspection/ef0b624a-54bc-4492-9fde-839525930903.jpg.296x216.jpg', '合生湖山国际 4室2厅 490万', '合生湖山国际  | 4室2厅 | 211.47平米 | 东南 | 其他 | 有电梯', '高楼层(共18层)2008年建塔楼  -  凤凰城', '490万', '单价23172元/平米')
('https://image1.ljcdn.com/440100-inspection/aa96450e-0509-4541-abd8-9d6dc48c0cbb.jpg.296x216.jpg', '翡翠绿洲 森林半岛 精装三房 安静舒适', '翡翠绿洲森林半岛  | 3室2厅 | 166.45平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2011年建塔楼  -  凤凰城', '435万', '单价26134元/平米')
('https://image1.ljcdn.com/440100-inspection/f2a56873-a676-4dfb-a461-c274c3098953.jpg.296x216.jpg', '东方名都 4室1厅 450万', '东方名都  | 4室1厅 | 166.35平米 | 西北 | 其他 | 有电梯', '中楼层(共29层)2013年建塔楼  -  新塘', '450万', '单价27052元/平米')
('https://image1.ljcdn.com/440100-inspection/8863dab8-3475-4176-92f1-68bd6ab8367e.jpg.296x216.jpg', '凤馨苑 精装3房2卫  带车位  精装修', '碧桂园凤凰城凤馨苑  | 3室2厅 | 92.51平米 | 北 | 其他 | 无电梯', '中楼层(共6层)2002年建塔楼  -  凤凰城', '240万', '单价25944元/平米')
('https://image1.ljcdn.com/440100-inspection/6f58ada7-7cef-42c1-af6f-9e0229bfd91c.jpg.296x216.jpg', '凤凰城凤馨苑 高层南向 两房单位', '碧桂园凤凰城凤馨苑  | 2室2厅 | 91.66平米 | 南 | 其他 | 有电梯', '高楼层(共11层)2002年建塔楼  -  凤凰城', '230万', '单价25093元/平米')
('https://image1.ljcdn.com/440100-inspection/706acae7-773a-43ea-a86f-95b2849ae905.jpg.296x216.jpg', '顺欣花园 3室2厅 305万', '顺欣花园  | 3室2厅 | 135.57平米 | 南 北 | 其他', '中楼层(共16层)塔楼  -  新塘', '305万', '单价22498元/平米')
('https://image1.ljcdn.com/440100-inspection/89fc81f1-66f3-49cf-bab6-295f5be41c19.jpg.296x216.jpg', '翡翠绿洲 育才阳光苑 高层2+1户型', '翡翠绿洲育才阳光苑  | 2室2厅 | 91.2平米 | 东 西 | 其他 | 有电梯', '中楼层(共17层)2011年建塔楼  -  凤凰城', '215万', '单价23575元/平米')
('https://image1.ljcdn.com/440100-inspection/5f705d32-33b3-4908-9d40-ec22f25b3ec4.jpg.296x216.jpg', '新康花园 3室2厅 203万', '新康花园  | 3室2厅 | 107.33平米 | 北 | 其他 | 无电梯', '低楼层(共7层)板楼  -  新塘', '203万', '单价18914元/平米')
('https://image1.ljcdn.com/440100-inspection/f384ea19-e23a-4cc4-8aa4-640ddd08b4c8.jpg.296x216.jpg', '锦绣新天地2房 方正实用 经典别致 温馨舒适 值得入手', '锦绣新天地  | 2室1厅 | 84.7平米 | 北 | 其他 | 有电梯', '低楼层(共15层)2010年建塔楼  -  新塘', '170万', '单价20071元/平米')
('https://image1.ljcdn.com/440100-inspection/727b0837-df26-4920-9733-3814a5676955.jpg.296x216.jpg', '视野好 安静 交通方便 配套成熟', '现代城市花园  | 3室2厅 | 110平米 | 南 | 其他 | 有电梯', '高楼层(共18层)塔楼  -  新塘', '275万', '单价25000元/平米')
('https://image1.ljcdn.com/440100-inspection/fbcc79f9-0a65-49bb-9991-90d90d83bbdf.jpg.296x216.jpg', '豪进山湖珺璟 南向三房 环境舒适', '豪进山湖珺璟  | 3室2厅 | 95平米 | 南 | 精装 | 有电梯', '中楼层(共33层)2013年建塔楼  -  新塘', '270万', '单价28422元/平米')
('https://image1.ljcdn.com/440100-inspection/d2bd564d-4258-43ec-acb8-f2fce1dd59e5.jpg.296x216.jpg', '碧桂园凤凰城凤凰岛 4室2厅 578万', '碧桂园凤凰城凤凰岛  | 4室2厅 | 202平米 | 西南 | 其他 | 无电梯', '低楼层(共3层)2002年建板楼  -  凤凰城', '578万', '单价28614元/平米')
('https://image1.ljcdn.com/440100-inspection/475c2563-4d44-4d00-abf8-44890631251e.jpg.296x216.jpg', '翡翠绿洲大户型  南北对流  望别墅大四房', '翡翠绿洲湖翠苑  | 4室2厅 | 253.25平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共24层)2011年建塔楼  -  凤凰城', '590万', '单价23298元/平米')
('https://image1.ljcdn.com/440100-inspection/f92c4049-92eb-4303-912e-cd90b8d2cf3d.jpg.296x216.jpg', '凤凰城  凤晴苑两房 温馨舒适', '碧桂园凤凰城凤晴苑  | 2室2厅 | 79.95平米 | 南 | 精装 | 有电梯', '中楼层(共32层)2002年建塔楼  -  凤凰城', '225万', '单价28143元/平米')
('https://image1.ljcdn.com/440100-inspection/ebd2c31d-2380-4b2f-89a7-096004c2cb90.jpg.296x216.jpg', '凤凰城 凤馨苑 精装二房 13号地铁 带车位', '碧桂园凤凰城凤馨苑  | 2室2厅 | 98平米 | 北 | 精装 | 有电梯', '低楼层(共11层)2002年建塔楼  -  凤凰城', '230万', '单价23470元/平米')
('https://image1.ljcdn.com/440100-inspection/bdca47df-1426-4fb9-972d-8a12b07c99a9.jpg.296x216.jpg', '新世界花园嘉怡苑 实用南北向3房', '新塘新世界花园嘉怡苑  | 3室2厅 | 104.18平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)塔楼  -  新塘', '210万', '单价20158元/平米')
('https://image1.ljcdn.com/440100-inspection/1727f20e-dca7-433e-8b9e-0b858b2f4283.jpg.296x216.jpg', '凤凰城 凤馨苑大两房中间位置保养新', '碧桂园凤凰城凤馨苑  | 2室2厅 | 98.46平米 | 北 | 其他 | 有电梯', '高楼层(共11层)2002年建塔楼  -  凤凰城', '252万', '单价25595元/平米')
('https://image1.ljcdn.com/440100-inspection/3962ec32-5c40-4c72-a7eb-130b6b1de945.jpg.296x216.jpg', '凤凰城凤岭苑 证过两年 生活舒适', '碧桂园凤凰城凤岭苑  | 3室2厅 | 137.22平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2002年建板楼  -  凤凰城', '323万', '单价23539元/平米')
('https://image1.ljcdn.com/440100-inspection/87e5ee42-7439-477f-90bb-e5f3ce73ddae.jpg.296x216.jpg', '惠百氏精装两房 格局方正实用 保养亮 近地铁', '惠百氏广场  | 2室2厅 | 75.29平米 | 西南 | 精装 | 有电梯', '低楼层(共18层)塔楼  -  新塘', '196万', '单价26033元/平米')
('https://image1.ljcdn.com/440100-inspection/f4c7c71a-0934-45a6-98ec-cac44a91e90f.jpg.296x216.jpg', '凤馨苑 精装三房 保养好', '碧桂园凤凰城凤馨苑  | 3室2厅 | 95平米 | 西 | 其他 | 有电梯', '高楼层(共18层)2002年建塔楼  -  凤凰城', '242万', '单价25474元/平米')
('https://image1.ljcdn.com/440100-inspection/b6b30895-8534-4c17-aa1b-eb2679568284.jpg.296x216.jpg', '富城花园 3室2厅 200万', '富城花园  | 3室2厅 | 119.6平米 | 南 | 精装 | 有电梯', '高楼层(共15层)塔楼  -  新塘', '200万', '单价16723元/平米')
('https://image1.ljcdn.com/440100-inspection/c8c9f0e6-cbea-4f19-8b4e-73b76766c809.jpg.296x216.jpg', '凤馨苑 精装北向三房', '碧桂园凤凰城凤馨苑  | 3室2厅 | 96.22平米 | 北 | 精装 | 有电梯', '低楼层(共11层)2002年建塔楼  -  凤凰城', '230万', '单价23904元/平米')
('https://image1.ljcdn.com/440100-inspection/73dd74d7-5bee-4e87-ba24-b96c1638bef3.jpg.296x216.jpg', '东景华庭 2室2厅 230万', '东景华庭  | 2室2厅 | 84.37平米 | 东 西 | 其他 | 无电梯', '高楼层(共10层)塔楼  -  新塘', '230万', '单价27261元/平米')
('https://image1.ljcdn.com/440100-inspection/41fd7b67-dc8d-438d-9e4f-657e4ce12a3d.jpg.296x216.jpg', '碧桂园凤凰城凤凰岛 2室2厅 285万', '碧桂园凤凰城凤凰岛  | 2室2厅 | 102.13平米 | 东南 | 其他 | 无电梯', '中楼层(共4层)2002年建板楼  -  凤凰城', '285万', '单价27906元/平米')
('https://image1.ljcdn.com/440100-inspection/d44b88fa-8390-45b1-9a6f-fa450790bdf2.jpg.296x216.jpg', '碧桂园凤凰城凤晴苑 2室2厅 230万', '碧桂园凤凰城凤晴苑  | 2室2厅 | 88.08平米 | 北 | 其他 | 有电梯', '高楼层(共17层)2002年建塔楼  -  凤凰城', '230万', '单价26113元/平米')
('https://image1.ljcdn.com/440100-inspection/df500b3f-fe47-401a-b765-a8133e2e9b12.jpg.296x216.jpg', '凤凰城凤馨苑 楼梯推荐 看小区花园', '碧桂园凤凰城凤馨苑  | 3室2厅 | 93.66平米 | 北 | 其他 | 无电梯', '中楼层(共6层)2002年建塔楼  -  凤凰城', '222万', '单价23703元/平米')
('https://image1.ljcdn.com/440100-inspection/8a53d754-1fb8-43b6-bed6-9326893e4e0a.jpg.296x216.jpg', '金泽华庭  东南向 格局方正 环境舒适', '金泽华庭  | 4室2厅 | 134.64平米 | 东南 | 其他', '中楼层(共18层)塔楼  -  新塘', '260万', '单价19311元/平米')
('https://image1.ljcdn.com/440100-inspection/8bb38195-3479-4871-86be-039f9943a2b2.jpg.296x216.jpg', '凤凰城凤仪苑 实用三房 安静舒适', '碧桂园凤凰城凤仪苑  | 3室2厅 | 99.63平米 | 西北 | 简装 | 无电梯', '中楼层(共6层)2002年建塔楼  -  凤凰城', '220万', '单价22082元/平米')
('https://image1.ljcdn.com/440100-inspection/aaeb0457-5497-4fc6-a77f-880ab04a0cd1.jpg.296x216.jpg', '翡翠绿洲湖绣苑 2室2厅 240万', '翡翠绿洲湖绣苑  | 2室2厅 | 91.5平米 | 南 | 其他 | 有电梯', '低楼层(共25层)2011年建塔楼  -  凤凰城', '240万', '单价26230元/平米')
('https://image1.ljcdn.com/440100-inspection/98cce2a3-f6d2-4988-a8bf-5836c4884b1b.jpg.296x216.jpg', '凤凰城凤馨苑 精装大两房 高楼层 南向采光好', '碧桂园凤凰城凤馨苑  | 2室2厅 | 97.02平米 | 南 | 简装 | 有电梯', '高楼层(共18层)2002年建塔楼  -  凤凰城', '248万', '单价25562元/平米')
('https://image1.ljcdn.com/440100-inspection/c42f7844-9fae-4c32-96c5-dd1dd58ee348.jpg.296x216.jpg', '汇东国际花园 南向三房 环境好 交通便利 白江地铁站', '汇东国际花园  | 3室2厅 | 128.11平米 | 南 | 毛坯 | 有电梯', '中楼层(共28层)2017年建塔楼  -  新塘', '290万', '单价22637元/平米')
('https://image1.ljcdn.com/440100-inspection/fe8b4f9d-a92c-43a9-bdcd-0b453c75589b.jpg.296x216.jpg', '金泽花园 3室2厅 188万', '金泽花园  | 3室2厅 | 103平米 | 西 | 其他 | 有电梯', '低楼层(共14层)塔楼  -  新塘', '188万', '单价18253元/平米')
('https://image1.ljcdn.com/440100-inspection/138b0f6b-6514-4473-9d0e-226f11d46524.jpg.296x216.jpg', '东凌广场精装公寓', '东凌广场  | 2室1厅 | 81.16平米 | 南 | 其他 | 有电梯', '中楼层(共27层)2014年建塔楼  -  凤凰城', '138万', '单价17000元/平米')
('https://image1.ljcdn.com/440100-inspection/3958dd13-fbf9-4426-893c-f734e95359fe.jpg.296x216.jpg', '顺欣广场，南向三房，望花园，配套成熟', '顺欣广场  | 3室2厅 | 95.72平米 | 南 | 其他 | 有电梯', '中楼层(共11层)塔楼  -  新塘', '193万', '单价20163元/平米')
('https://image1.ljcdn.com/440100-inspection/7ce6b2a7-cea4-4451-9e61-fb5a228d374e.jpg.296x216.jpg', '东凌广场 南向高楼层 精装公', '东凌广场  | 1室2厅 | 92平米 | 南 | 其他 | 有电梯', '中楼层(共27层)2014年建塔楼  -  凤凰城', '165万', '单价17935元/平米')
('https://image1.ljcdn.com/440100-inspection/339851d6-2935-4baa-9adf-f834c7f9c77a.jpg.296x216.jpg', '凤凰城凤馨苑 精装三房房 保养好', '碧桂园凤凰城凤馨苑  | 3室2厅 | 91.16平米 | 南 | 其他 | 有电梯', '高楼层(共11层)2002年建塔楼  -  凤凰城', '245万', '单价26876元/平米')
('https://image1.ljcdn.com/440100-inspection/ccf7d6dc-5562-4ae3-86c8-2b38cae70174.jpg.296x216.jpg', '凤凰城凤馨苑 经典户型 保养新 送车位', '碧桂园凤凰城凤馨苑  | 3室2厅 | 92.79平米 | 西 | 其他 | 有电梯', '低楼层(共18层)2002年建塔楼  -  凤凰城', '250万', '单价26943元/平米')
('https://image1.ljcdn.com/440100-inspection/2ad9079b-1967-4943-acc3-e96d2da95643.jpg.296x216.jpg', '金泽 精装四房 满两年 无按揭', '金泽豪庭  | 4室2厅 | 143.92平米 | 南 北 | 精装 | 有电梯', '低楼层(共27层)2009年建塔楼  -  新塘', '340万', '单价23625元/平米')
('https://image1.ljcdn.com/440100-inspection/9eb396c8-000f-48d6-96c6-f3d488b1aed9.jpg.296x216.jpg', '东方名都 4室2厅 346.968万', '东方名都  | 4室2厅 | 144.57平米 | 南 | 其他 | 有电梯', '中楼层(共29层)2013年建塔楼  -  新塘', '347万', '单价24000元/平米')
('https://image1.ljcdn.com/440100-inspection/887d047f-ddd0-4482-9eb0-b1f610608034.jpg.296x216.jpg', '凤凰城凤仪苑 精致三房', '碧桂园凤凰城凤仪苑  | 3室2厅 | 99.29平米 | 东北 | 简装 | 无电梯', '中楼层(共6层)2002年建塔楼  -  凤凰城', '230万', '单价23165元/平米')
('https://image1.ljcdn.com/440100-inspection/cf644266-1997-4b20-b5e8-7f4488672a0d.jpg.296x216.jpg', '翡翠绿洲 湖绣苑 精装四房', '翡翠绿洲湖绣苑  | 4室2厅 | 163.06平米 | 西 | 精装 | 有电梯', '中楼层(共15层)2011年建塔楼  -  凤凰城', '460万', '单价28211元/平米')
('https://image1.ljcdn.com/440100-inspection/0156fc3c-4f78-46ba-8860-0b8ca75bec21.jpg.296x216.jpg', '金泽 精装大三房 格局方正', '金泽豪庭  | 3室2厅 | 125.5平米 | 南 北 | 精装 | 有电梯', '中楼层(共26层)2007年建塔楼  -  新塘', '312万', '单价24861元/平米')
('https://image1.ljcdn.com/440100-inspection/f4f027ca-c7d7-4de6-a4b4-c3231bd34ba8.jpg.296x216.jpg', '凤仪苑 精装五房 园林景观 环境好', '碧桂园凤凰城凤仪苑  | 5室2厅 | 158平米 | 东北 | 精装 | 无电梯', '高楼层(共6层)2002年建塔楼  -  凤凰城', '330万', '单价20887元/平米')
('https://image1.ljcdn.com/440100-inspection/6cc722b9-eef2-4acc-bdde-14c7b5eebd12.jpg.296x216.jpg', '翡翠绿洲森林半岛高层6房 帽峰山景区', '翡翠绿洲森林半岛  | 6室2厅 | 232.89平米 | 南 北 | 精装 | 有电梯', '高楼层(共24层)2011年建塔楼  -  凤凰城', '560万', '单价24046元/平米')
('https://image1.ljcdn.com/440100-inspection/9a25f064-7139-462b-bf8e-54e40afd9608.jpg.296x216.jpg', '东方名都 4室2厅 370万', '东方名都  | 4室2厅 | 141.03平米 | 西北 | 精装 | 有电梯', '中楼层(共29层)2013年建塔楼  -  新塘', '370万', '单价26236元/平米')
('https://image1.ljcdn.com/440100-inspection/c99c33ce-4036-4c03-9ccf-bad9d46fc6e5.jpg.296x216.jpg', '惠百氏广场 2室1厅 186万', '惠百氏广场  | 2室1厅 | 73.28平米 | 东 | 精装 | 有电梯', '高楼层(共18层)塔楼  -  新塘', '186万', '单价25383元/平米')
('https://image1.ljcdn.com/440100-inspection/0851b381-37f6-4456-b3fa-1fb4f73bd348.jpg.296x216.jpg', '新世界花园 户型方正 业主诚心放卖', '新塘新世界花园嘉华苑  | 3室2厅 | 103平米 | 东南 | 其他 | 无电梯', '中楼层(共7层)塔楼  -  新塘', '210万', '单价20389元/平米')
('https://image1.ljcdn.com/440100-inspection/772cb39a-5396-4f05-a9bf-6d42dc876a87.jpg.296x216.jpg', '东方名都 精装三房', '东方名都  | 3室2厅 | 106.34平米 | 西南 | 其他 | 有电梯', '低楼层(共29层)2013年建塔楼  -  新塘', '290万', '单价27272元/平米')
('https://image1.ljcdn.com/440100-inspection/8fef28e9-3091-4eeb-b7d0-f6b0d76f8a82.jpg.296x216.jpg', '锦绣新天地 中高层精装两房 看花园', '锦绣新天地  | 2室2厅 | 74.89平米 | 北 | 其他 | 有电梯', '中楼层(共17层)2011年建塔楼  -  新塘', '166万', '单价22166元/平米')
('https://image1.ljcdn.com/440100-inspection/cfad5ffa-48f9-4acc-b251-fcf8036102e5.jpg.296x216.jpg', '合生湖山国际 3室2厅 320万', '合生湖山国际  | 3室2厅 | 147.53平米 | 南 北 | 其他 | 有电梯', '高楼层(共11层)2008年建塔楼  -  凤凰城', '320万', '单价21691元/平米')
('https://image1.ljcdn.com/440100-inspection/1df90446-36bf-43b1-bb82-bbbd032a83f6.jpg.296x216.jpg', '金泽豪庭 2室2厅 212万', '金泽豪庭  | 2室2厅 | 82.73平米 | 北 | 其他 | 有电梯', '高楼层(共27层)2009年建塔楼  -  新塘', '212万', '单价25626元/平米')
('https://image1.ljcdn.com/440100-inspection/2a9d4d73-327b-46f6-989d-486b94c16ce6.jpg.296x216.jpg', '凤晴苑  南向高层两房  带车位   单边位', '碧桂园凤凰城凤晴苑  | 2室2厅 | 80.77平米 | 南 | 其他 | 有电梯', '高楼层(共17层)2002年建塔楼  -  凤凰城', '228万', '单价28229元/平米')
('https://image1.ljcdn.com/440100-inspection/3336c1d8-c10b-4c3f-b6cb-da44f5b70ee2.jpg.296x216.jpg', '东方名都 3室2厅 260万', '东方名都  | 3室2厅 | 94.84平米 | 东南 | 其他 | 有电梯', '低楼层(共23层)2012年建塔楼  -  新塘', '260万', '单价27415元/平米')
('https://image1.ljcdn.com/440100-inspection/f55bb1a9-3c67-44e1-b2f4-429dddff83f6.jpg.296x216.jpg', '满两年 小三房 总价不高 证过两年', '翡翠绿洲育才阳光苑  | 3室2厅 | 91.2平米 | 西 | 其他 | 有电梯', '低楼层(共17层)2011年建塔楼  -  凤凰城', '195万', '单价21382元/平米')
('https://image1.ljcdn.com/440100-inspection/ec6806da-5869-46fd-a323-713b46a70fe1.jpg.296x216.jpg', '金泽华庭 南向大两房，南北对流，保养好', '金泽华庭  | 2室2厅 | 102.77平米 | 南 | 其他', '中楼层(共23层)塔楼  -  新塘', '185万', '单价18002元/平米')
('https://image1.ljcdn.com/440100-inspection/2547dc7e-4e81-4161-9621-deb6800938ea.jpg.296x216.jpg', '东方名都 3室1厅 365万', '东方名都  | 3室1厅 | 144.42平米 | 北 | 其他 | 有电梯', '中楼层(共29层)2013年建塔楼  -  新塘', '365万', '单价25274元/平米')
('https://image1.ljcdn.com/440100-inspection/10e456b9-5ff7-4c65-bbff-d5677f73e820.jpg.296x216.jpg', '万象苑 精装三房 地铁物业带车位', '新塘新世界花园万象苑  | 3室2厅 | 94.49平米 | 北 | 其他 | 有电梯', '低楼层(共18层)2009年建塔楼  -  新塘', '250万', '单价26458元/平米')
('https://image1.ljcdn.com/440100-inspection/22887c02-dcb0-4e2c-8ff0-e9850fa028e4.jpg.296x216.jpg', '碧桂园凤凰城凤馨苑 2室2厅 255万', '碧桂园凤凰城凤馨苑  | 2室2厅 | 97.05平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2002年建塔楼  -  凤凰城', '255万', '单价26276元/平米')
('https://image1.ljcdn.com/440100-inspection/8e041849-758a-494d-8e56-cd07347f58cc.jpg.296x216.jpg', '翡翠绿洲湖翠苑 2室1厅 245万', '翡翠绿洲湖翠苑  | 2室1厅 | 95平米 | 南 | 其他 | 有电梯', '低楼层(共24层)2011年建塔楼  -  凤凰城', '245万', '单价25790元/平米')
('https://image1.ljcdn.com/440100-inspection/761e5d8f-c5f8-4086-a258-a875051673d5.jpg.296x216.jpg', '新利大厦 南向三房 保养好 中间楼层 地段成熟', '新利大厦  | 3室2厅 | 95.73平米 | 南 | 其他 | 有电梯', '中楼层(共17层)1995年建塔楼  -  新塘', '158万', '单价16505元/平米')
('https://image1.ljcdn.com/440100-inspection/263577a9-e46a-4d37-9afb-beefafb8e631.jpg.296x216.jpg', '碧桂园凤凰城凤仪苑 3室2厅 250万', '碧桂园凤凰城凤仪苑  | 3室2厅 | 99.29平米 | 北 | 其他 | 无电梯', '中楼层(共6层)2002年建塔楼  -  凤凰城', '250万', '单价25179元/平米')
('https://image1.ljcdn.com/440100-inspection/f507531a-63f2-450b-98a4-e48f4b771f03.jpg.296x216.jpg', '凤馨苑 精装三房 带阁楼 车位', '碧桂园凤凰城凤馨苑  | 3室2厅 | 93.35平米 | 北 | 精装 | 有电梯', '高楼层(共18层)2002年建塔楼  -  凤凰城', '250万', '单价26781元/平米')
('https://image1.ljcdn.com/440100-inspection/cc2bc33f-1356-47f3-a7f6-eae4e40e8889.jpg.296x216.jpg', '翡翠绿洲 高层复式单位 挑高9米可做', '翡翠绿洲森林半岛  | 4室2厅 | 207平米 | 南 北 | 毛坯 | 有电梯', '高楼层(共14层)2011年建塔楼  -  凤凰城', '450万', '单价21740元/平米')
('https://image1.ljcdn.com/440100-inspection/75a25e5f-2fa5-47f3-b745-8fe6687662e6.jpg.296x216.jpg', '森林半岛 精装南向大三房 可改四房', '翡翠绿洲森林半岛  | 3室2厅 | 167.8平米 | 南 | 其他 | 无电梯', '中楼层(共7层)2011年建塔楼  -  凤凰城', '380万', '单价22647元/平米')
('https://image1.ljcdn.com/440100-inspection/887c8c27-b240-4d61-a856-ce14fb14e2ee.jpg.296x216.jpg', '翡翠绿洲 湖翠苑 南向四房', '翡翠绿洲湖翠苑  | 4室2厅 | 163.02平米 | 南 | 其他 | 有电梯', '中楼层(共24层)2011年建塔楼  -  凤凰城', '395万', '单价24231元/平米')
