('https://image1.ljcdn.com/440100-inspection/6041f7ad-fc9d-431d-b322-271380747104.jpg.296x216.jpg', '小康人家 2室2厅 360万', '小康人家  | 2室2厅 | 89.76平米 | 西南 | 其他 | 有电梯', '中楼层(共11层)2002年建塔楼  -  坑口', '360万', '单价40107元/平米')
('https://image1.ljcdn.com/440100-inspection/8f4ead55-2e8c-4f09-8097-4c905291b838.jpg.296x216.jpg', '荔湾区 广雅路 一房一厅', '广雅路  | 1室1厅 | 30.66平米 | 南 | 其他 | 无电梯', '高楼层(共8层)塔楼  -  西村', '98万', '单价31964元/平米')
('https://image1.ljcdn.com/440100-inspection/3c84bb8d-51ac-4e67-861d-a4ae39b7ee2d.jpg.296x216.jpg', '荔港南湾 实用两房  采光通风好', '荔港南湾H区  | 2室2厅 | 75平米 | 南 | 其他 | 有电梯', '高楼层(共28层)2008年建塔楼  -  南岸路', '370万', '单价49334元/平米')
('https://image1.ljcdn.com/440100-inspection/2ccbf687-9449-4dd3-b0c3-b2560e8dd62c.jpg.296x216.jpg', '逸彩庭园 复式望花园5房 通风对流', '新世界逸彩庭园D区  | 5室2厅 | 180.25平米 | 西南 | 其他 | 无电梯', '高楼层(共6层)2007年建塔楼  -  滘口', '600万', '单价33288元/平米')
('https://image1.ljcdn.com/440100-inspection/6a03a3ae-b17b-45d3-9670-e4d35799bdb4.jpg.296x216.jpg', '大坦沙 桥中花园 精致大两房', '桥中花园  | 2室2厅 | 59平米 | 南 北 | 简装 | 无电梯', '低楼层(共9层)塔楼  -  大坦沙', '200万', '单价33899元/平米')
('https://image1.ljcdn.com/440100-inspection/ce77305b-bf58-4857-af06-2fab8aa4943e.jpg.296x216.jpg', '花地河湾 中空复式住宅 双地铁', '花地河湾  | 5室2厅 | 87.3平米 | 东 西 | 精装 | 有电梯', '低楼层(共22层)2009年建塔楼  -  东塱', '438万', '单价50172元/平米')
('https://image1.ljcdn.com/440100-inspection/d5078af8-7825-437b-a9dd-a0b18af109a7.jpg.296x216.jpg', '金宇花园 三房两厅', '金宇花园  | 3室2厅 | 79.7平米 | 南 北 | 其他 | 无电梯', '高楼层(共9层)1998年建塔楼  -  东塱', '195万', '单价24467元/平米')
('https://image1.ljcdn.com/440100-inspection/cb091146-2e62-4d13-b1ad-9c9110a7c38a.jpg.296x216.jpg', '中铁荔湾 高层单位 精装实用3房', '中铁荔湾国际城  | 3室2厅 | 114平米 | 东南 | 其他 | 有电梯', '中楼层(共33层)2015年建塔楼  -  龙溪', '470万', '单价41229元/平米')
('https://image1.ljcdn.com/440100-inspection/50a4f35e-99ca-4d90-8737-f8ff0ccd4ef8.jpg.296x216.jpg', '金宇花园 中层一房 望花园', '金宇花园  | 1室1厅 | 28.4平米 | 南 | 其他 | 无电梯', '低楼层(共9层)1998年建塔楼  -  东塱', '99万', '单价34860元/平米')
('https://image1.ljcdn.com/440100-inspection/14e4ac42-c8ca-4e1d-b754-c00ad653c4ca.jpg.296x216.jpg', '中铁荔湾城 精装修3房带主套 望花园', '中铁荔湾国际城  | 3室1厅 | 115.32平米 | 南 北 | 其他 | 有电梯', '低楼层(共33层)2015年建塔楼  -  龙溪', '520万', '单价45092元/平米')
('https://image1.ljcdn.com/440100-inspection/2b606c6d-c7f0-4891-9f49-71c3204b8c48.jpg.296x216.jpg', '东浚荔景苑 实用三房 户型方正 望花园', '东浚荔景苑  | 3室2厅 | 113平米 | 东北 | 其他 | 有电梯', '高楼层(共37层)1998年建塔楼  -  中山八', '513万', '单价45399元/平米')
('https://image1.ljcdn.com/440100-inspection/51fe18cb-e459-47b5-a7cc-be33c35050be.jpg.296x216.jpg', '保利塞纳维拉 电梯两房 环境优美', '保利塞纳维拉  | 2室2厅 | 77平米 | 东南 | 其他 | 有电梯', '高楼层(共18层)2015年建塔楼  -  龙溪', '249万', '单价32338元/平米')
('https://image1.ljcdn.com/440100-inspection/b6177e9e-cedc-4cda-880d-374926915a44.jpg.296x216.jpg', '十三甫路 大院管理 近上下九步行街', '十三甫路14号大院  | 3室1厅 | 91.16平米 | 南 | 其他', '高楼层(共6层)板楼  -  西关', '300万', '单价32910元/平米')
('https://image1.ljcdn.com/440100-inspection/460ae3d1-fc6f-42a5-95ba-036951807631.jpg.296x216.jpg', '保利塞纳维拉 电梯三房 环境幽静舒适', '保利塞纳维拉  | 3室2厅 | 94平米 | 南 北 | 其他 | 有电梯', '低楼层(共18层)2015年建塔楼  -  龙溪', '320万', '单价34043元/平米')
('https://image1.ljcdn.com/440100-inspection/a09473a8-d87c-42c3-a995-552f2ef81875.jpg.296x216.jpg', '东浚荔景苑 实用三房间隔', '东浚荔景苑  | 3室1厅 | 99.8平米 | 东 西 | 简装 | 有电梯', '高楼层(共37层)1998年建塔楼  -  中山八', '500万', '单价50101元/平米')
('https://image1.ljcdn.com/440100-inspection/681c777c-e0f8-46f2-bd9b-cbe961dd038d.jpg.296x216.jpg', '保利紫林香苑 大户人家4房 精致装修', '保利塞纳维拉  | 4室2厅 | 134平米 | 南 北 | 其他 | 有电梯', '中楼层(共18层)2015年建塔楼  -  龙溪', '450万', '单价33583元/平米')
('https://image1.ljcdn.com/440100-inspection/e5500604-7e9d-41ec-ab50-99155f7ea80e.jpg.296x216.jpg', '大同路 方正舒适三房', '大同路  | 3室1厅 | 83平米 | 东南 | 简装 | 无电梯', '高楼层(共10层)塔楼  -  西关', '368万', '单价44338元/平米')
('https://image1.ljcdn.com/440100-inspection/2e7f126a-bb09-48b1-8980-bfd457a86c8a.jpg.296x216.jpg', '芳信路 精致大三房 户型方正 电梯房', '芳信路中医院宿舍  | 3室2厅 | 99平米 | 东南 | 其他 | 有电梯', '中楼层(共10层)1997年建塔楼  -  滘口', '280万', '单价28283元/平米')
('https://image1.ljcdn.com/440100-inspection/36e18848-ce32-437b-acf8-554cebcd876a.jpg.296x216.jpg', '珠岛花园 二期 复式楼 三房二厅', '珠岛花园  | 3室2厅 | 97.05平米 | 南 | 简装 | 无电梯', '中楼层(共9层)1995年建塔楼  -  大坦沙', '330万', '单价34004元/平米')
('https://image1.ljcdn.com/440100-inspection/247ed093-7985-4f07-a278-82c3d31fb4c0.jpg.296x216.jpg', '路劲隽泷湾 高层4房 带主套', '路劲隽泷湾  | 4室2厅 | 145.7平米 | 东北 | 其他 | 有电梯', '高楼层(共31层)2013年建塔楼  -  龙溪', '550万', '单价37749元/平米')
('https://image1.ljcdn.com/440100-inspection/385983db-b911-4c0e-85ce-a02f5e2308da.jpg.296x216.jpg', '东浚荔景苑 南向园林开阔三房', '东浚荔景苑  | 3室1厅 | 96平米 | 南 | 简装 | 有电梯', '高楼层(共37层)1998年建塔楼  -  中山八', '450万', '单价46875元/平米')
('https://image1.ljcdn.com/440100-inspection/f1ea105c-52d0-4638-b493-fccaba8c6814.jpg.296x216.jpg', '金兰苑 配套成熟 交通便利', '金兰苑  | 2室1厅 | 45.65平米 | 东南 | 其他 | 无电梯', '中楼层(共9层)2001年建塔楼  -  汾水', '133万', '单价29135元/平米')
('https://image1.ljcdn.com/440100-inspection/16115a32-10a5-41d6-be48-3e092117ed51.jpg.296x216.jpg', '中山八路社区 户型方正 阳光入室', '中山八路  | 4室2厅 | 110.6平米 | 南 | 精装', '中楼层(共10层)塔楼  -  中山八', '388.5万', '单价35127元/平米')
('https://image1.ljcdn.com/440100-inspection/cbe27091-781d-46bf-99f1-dbd7d39b2c77.jpg.296x216.jpg', '芬芳街 实用三房 证够五年', '芬芳小区  | 3室1厅 | 72.81平米 | 东南 | 其他 | 无电梯', '中楼层(共9层)1996年建塔楼  -  汾水', '196万', '单价26920元/平米')
('https://image1.ljcdn.com/440100-inspection/8f4b4d8c-ad0d-4bf0-9476-627a7e74c431.jpg.296x216.jpg', '龙津中路 楼梯高层 通风采光', '龙津中路  | 4室1厅 | 113.5平米 | 南 | 简装 | 无电梯', '中楼层(共9层)塔楼  -  陈家祠', '325万', '单价28635元/平米')
('https://image1.ljcdn.com/440100-inspection/aa8ecf12-dde7-4107-bdc5-3954ab62ca7a.jpg.296x216.jpg', '隽泷湾 大三房可改四房', '路劲隽泷湾  | 3室2厅 | 145平米 | 东南 | 其他 | 有电梯', '低楼层(共31层)2013年建塔楼  -  龙溪', '455万', '单价31380元/平米')
('https://image1.ljcdn.com/440100-inspection/c29c3dd1-9b77-491e-a770-f8da4a7b3e19.jpg.296x216.jpg', '富力广场 中山八地铁 精装两房 楼龄新净', '富力广场S区  | 2室1厅 | 81.13平米 | 北 | 精装 | 有电梯', '中楼层(共24层)塔楼  -  中山八', '438万', '单价53988元/平米')
('https://image1.ljcdn.com/440100-inspection/37de67bb-030d-4caa-9e8d-3cc743c94859.jpg.296x216.jpg', '龙津西路 司法大厦 电梯实用', '司法大厦  | 3室1厅 | 107平米 | 南 | 简装 | 有电梯', '中楼层(共24层)1998年建塔楼  -  西关', '450万', '单价42057元/平米')
('https://image1.ljcdn.com/440100-inspection/a26c5bca-f990-405d-9747-27ca9642f57d.jpg.296x216.jpg', '路劲隽泷湾 靓装 高层四房', '路劲隽泷湾  | 4室2厅 | 145.14平米 | 东北 | 其他 | 有电梯', '高楼层(共31层)2014年建塔楼  -  龙溪', '470万', '单价32383元/平米')
('https://image1.ljcdn.com/440100-inspection/a676b267-fb1d-4bb8-a386-889182145eba.jpg.296x216.jpg', '盛大蓝庭 温馨两房 交通便利', '盛大蓝庭  | 2室2厅 | 75.63平米 | 东北 | 其他 | 有电梯', '中楼层(共18层)2003年建塔楼  -  坑口', '300万', '单价39667元/平米')
('https://image1.ljcdn.com/440100-inspection/1541fca6-732a-4b07-ab88-a2c9f11f29fd.jpg.296x216.jpg', '金宇花园 舒适两房 南向单位', '金宇花园  | 2室2厅 | 69平米 | 南 | 其他 | 无电梯', '低楼层(共9层)1996年建塔楼  -  东塱', '190万', '单价27537元/平米')
('https://image1.ljcdn.com/440100-inspection/8aa2c867-bfef-407a-8a82-ecfdd37df9da.jpg.296x216.jpg', '中铁荔湾国 际城 花园小区 高层精致4房', '中铁荔湾国际城  | 4室2厅 | 133平米 | 东南 | 其他 | 有电梯', '高楼层(共33层)2015年建塔楼  -  龙溪', '545万', '单价40978元/平米')
('https://image1.ljcdn.com/440100-inspection/65d26fbf-3c2b-4c06-b3e7-eb6de62d2917.jpg.296x216.jpg', '芳园居 品质小区 电梯3房', '芳园居教师新村  | 3室2厅 | 122平米 | 南 | 其他 | 有电梯', '低楼层(共25层)1998年建塔楼  -  龙溪', '398万', '单价32623元/平米')
('https://image1.ljcdn.com/440100-inspection/5a1a3de0-756a-4bf0-83a0-dc6b081d61f7.JPG.296x216.jpg', '珠岛花园 出行便利 南向两房', '珠岛花园  | 2室1厅 | 49.84平米 | 南 | 精装 | 无电梯', '中楼层(共9层)1995年建塔楼  -  大坦沙', '180万', '单价36116元/平米')
('https://image1.ljcdn.com/440100-inspection/71340845-1782-4c84-9ce8-9a8b9cd35f11.jpg.296x216.jpg', '康乃馨苑 中楼层 家私家电齐', '康乃馨苑  | 2室1厅 | 48.28平米 | 北 | 简装 | 无电梯', '低楼层(共9层)2000年建塔楼  -  坑口', '183万', '单价37904元/平米')
('https://image1.ljcdn.com/440100-inspection/ad991d28-5882-41f0-a626-b55e84ab0592.jpg.296x216.jpg', '荔新大厦 实用大两房 格局方正', '荔新大厦  | 2室2厅 | 106平米 | 西南 | 精装 | 有电梯', '高楼层(共9层)塔楼  -  西村', '500万', '单价47170元/平米')
('https://image1.ljcdn.com/440100-inspection/fb299212-56b4-496f-81f8-58666935815d.jpg.296x216.jpg', '新世界逸彩庭园 3房 新装修 地铁5号线', '新世界逸彩庭园G区  | 3室2厅 | 78.22平米 | 西南 | 简装 | 有电梯', '低楼层(共18层)2007年建塔楼  -  滘口', '310万', '单价39632元/平米')
('https://image1.ljcdn.com/440100-inspection/05bbb122-d065-4ed4-abd5-0289501c4738.jpg.296x216.jpg', '富力广场S区 南向四房全明屋', '富力广场S区  | 4室2厅 | 153平米 | 西南 | 简装 | 有电梯', '低楼层(共24层)2005年建塔楼  -  中山八', '800万', '单价52288元/平米')
('https://image1.ljcdn.com/440100-inspection/9b93ce1a-581d-4ebb-b47c-e1401728b83d.jpg.296x216.jpg', '金宇花园 格局方正三房 温馨舒适', '金宇花园  | 3室2厅 | 93.5平米 | 北 | 简装 | 无电梯', '高楼层(共9层)1996年建塔楼  -  东塱', '238万', '单价25455元/平米')
('https://image1.ljcdn.com/440100-inspection/0ac1c3d6-b25d-4561-9d8e-3f4525691623.jpg.296x216.jpg', '乐怡居 实用大两房 南向单位', '乐怡居  | 2室1厅 | 80.77平米 | 南 | 简装 | 有电梯', '低楼层(共31层)1996年建塔楼  -  花地大道', '300万', '单价37143元/平米')
('https://image1.ljcdn.com/440100-inspection/d0a75f95-3a97-4be1-894b-e2dec2915935.jpg.296x216.jpg', '珠岛花园 二期 复式楼 三房二厅', '珠岛花园  | 2室1厅 | 100.7平米 | 南 北 | 精装 | 无电梯', '中楼层(共9层)1995年建塔楼  -  大坦沙', '330万', '单价32771元/平米')
('https://image1.ljcdn.com/440100-inspection/42968513-7df9-4f6f-b072-3415fd583eeb.jpg.296x216.jpg', '荔尚国际 新装修 温馨一房 管理好', '荔尚国际  | 1室1厅 | 55平米 | 北 | 简装 | 有电梯', '中楼层(共17层)2008年建塔楼  -  西关', '228万', '单价41455元/平米')
('https://image1.ljcdn.com/440100-inspection/2e6f2ec3-1bd5-4883-9ac3-8b40c7f892d8.jpg.296x216.jpg', '光复中路 低层两房 户型方正', '光复中路  | 3室2厅 | 127平米 | 南 | 简装 | 无电梯', '低楼层(共9层)1988年建塔楼  -  人民路', '410万', '单价32284元/平米')
('https://image1.ljcdn.com/440100-inspection/349ff217-6fa1-4c70-ae9f-852d5da386b0.jpg.296x216.jpg', '珠岛花园 二房二厅 厅出阳台', '珠岛花园  | 2室1厅 | 68.07平米 | 西 | 其他 | 无电梯', '中楼层(共9层)1995年建塔楼  -  大坦沙', '195万', '单价28647元/平米')
('https://image1.ljcdn.com/440100-inspection/9f6bf0b8-d7e2-4aac-af44-8357de7547ec.jpg.296x216.jpg', '中山七路 美荔尚筑 电梯两房', '美荔尚筑  | 2室1厅 | 87平米 | 北 | 其他 | 有电梯', '低楼层(共37层)2009年建塔楼  -  陈家祠', '550万', '单价63219元/平米')
('https://image1.ljcdn.com/440100-inspection/5cf4eff6-93d3-47ba-aee1-8b49b275e10e.jpg.296x216.jpg', '一号线花地湾，万象沃尔玛楼上 大两房电梯', '花地城广场  | 2室2厅 | 94.09平米 | 西南 | 精装 | 有电梯', '中楼层(共17层)2002年建塔楼  -  花地大道', '390万', '单价41450元/平米')
('https://image1.ljcdn.com/440100-inspection/92d7f79a-c0b6-4481-ac37-811d5936dcc6.jpg.296x216.jpg', '广船鹤园小区 实用两房 南向望花园', '广船鹤园小区  | 2室1厅 | 73.2平米 | 东南 | 其他 | 无电梯', '高楼层(共9层)1999年建塔楼  -  鹤洞', '218万', '单价29782元/平米')
('https://image1.ljcdn.com/440100-inspection/92d4a6df-8b44-4de6-9709-abbc21210496.jpg.296x216.jpg', '*广场高层望江三房', '黄金广场  | 3室2厅 | 157.59平米 | 东北 | 其他 | 有电梯', '高楼层(共31层)塔楼  -  黄沙', '553万', '单价35092元/平米')
('https://image1.ljcdn.com/440100-inspection/7696631e-b6b1-4002-a951-7ca82dfb3964.jpg.296x216.jpg', '荔湖明苑 亲晴天 电梯两房', '荔湖明苑  | 2室2厅 | 77.8平米 | 西 | 精装 | 有电梯', '低楼层(共23层)1999年建塔楼  -  黄沙', '340万', '单价43702元/平米')
('https://image1.ljcdn.com/440100-inspection/d6efe8db-f2a1-4a0d-bd2d-de9311475481.jpg.296x216.jpg', '龙津大厦 实用4房  有大露台  居家置换选择', '龙津大厦  | 4室1厅 | 103.6平米 | 东 | 其他 | 有电梯', '低楼层(共32层)1997年建塔楼  -  西关', '425万', '单价41024元/平米')
('https://image1.ljcdn.com/440100-inspection/f6e08f6e-3f15-4380-9bb6-bf2caeebe353.jpg.296x216.jpg', '西湾苑 2室1厅 195万', '西湾苑  | 2室1厅 | 53平米 | 西南 | 其他 | 无电梯', '高楼层(共9层)1980年建塔楼  -  西村', '195万', '单价36793元/平米')
('https://image1.ljcdn.com/440100-inspection/87aa08f4-5760-434b-98b2-e7b55cdb261f.jpg.296x216.jpg', '新世界凯粤湾 2室2厅 360万', '新世界凯粤湾  | 2室2厅 | 75.11平米 | 西南 | 其他 | 有电梯', '高楼层(共33层)2014年建塔楼  -  滘口', '360万', '单价47930元/平米')
('https://image1.ljcdn.com/440100-inspection/71b2b87a-8a78-44ac-98e8-79b2e08a41d4.jpg.296x216.jpg', '南京路14号大院 2室1厅 320万', '南京路14号大院  | 2室1厅 | 72.18平米 | 南 | 其他 | 有电梯', '低楼层(共9层)塔楼  -  西村', '320万', '单价44334元/平米')
('', '珠岛花园 2室2厅 220万', '珠岛花园  | 2室2厅 | 61.65平米 | 北 | 其他 | 无电梯', '中楼层(共9层)1995年建塔楼  -  大坦沙', '220万', '单价35686元/平米')
('https://image1.ljcdn.com/440100-inspection/11f7aaf0-11c8-4e22-9706-6eb42f05b80a.jpg.296x216.jpg', '珠岛花园 二房二厅 中层 南向', '珠岛花园  | 2室2厅 | 63.91平米 | 南 | 精装 | 无电梯', '中楼层(共9层)1995年建塔楼  -  大坦沙', '198.5万', '单价31060元/平米')
('', '中层单位 马赛克外墙 四房两厅', '西华路和安街  | 4室2厅 | 109.01平米 | 南 | 其他 | 无电梯', '中楼层(共9层)塔楼  -  西华路', '395万', '单价36236元/平米')
('https://image1.ljcdn.com/440100-inspection/020f45e3-6a16-4599-affa-de1945453ddd.jpg.296x216.jpg', '花语水岸 精装三房 诚意出售', '花语水岸  | 3室2厅 | 88.72平米 | 南 | 简装', '高楼层(共26层)塔楼  -  大坦沙', '410万', '单价46213元/平米')
('', '荔港南湾  实用两房  装修保养好', '荔港南湾  | 2室2厅 | 70.78平米 | 东北 | 简装 | 有电梯', '低楼层(共28层)2008年建塔楼  -  南岸路', '280万', '单价39560元/平米')
('https://image1.ljcdn.com/440100-inspection/4b940fcd-8d35-4e06-b55e-eb6e61175b62.jpg.296x216.jpg', '金平大厦 电梯两房 装修新净 采光通风好', '金平大厦  | 2室1厅 | 67.5平米 | 西北 | 其他 | 有电梯', '高楼层(共18层)2000年建塔楼  -  西华路', '300万', '单价44445元/平米')
('', '恒荔湾畔 2室2厅 360万', '恒荔湾畔  | 2室2厅 | 73.52平米 | 西南 | 其他 | 有电梯', '低楼层(共31层)2008年建塔楼  -  芳村大道', '360万', '单价48967元/平米')
('https://image1.ljcdn.com/440100-inspection/c47eded1-8e33-4c78-9330-070be43ef75d.jpg.296x216.jpg', '富力环市西苑 大三房 西村', '富力环市西苑  | 3室2厅 | 102平米 | 南 | 其他 | 有电梯', '中楼层(共15层)2000年建塔楼  -  西村', '540万', '单价52942元/平米')
('', '荔港南湾 3室2厅 400万', '荔港南湾  | 3室2厅 | 100平米 | 西北 | 精装 | 有电梯', '中楼层(共25层)1999年建塔楼  -  南岸路', '400万', '单价40000元/平米')
('https://image1.ljcdn.com/440100-inspection/99d32191-62a8-4d35-8fa4-989aa74fa908.jpg.296x216.jpg', '雅居乐 实用一房一厅 交通方便', '荔尚国际  | 1室1厅 | 43平米 | 东北 | 简装 | 有电梯', '中楼层(共17层)2008年建塔楼  -  西关', '185万', '单价43024元/平米')
('', '小梅大街 正规两房 户型方正 楼龄新 看房方便', '金纶大厦  | 2室1厅 | 72.23平米 | 东南 | 其他 | 无电梯', '高楼层(共9层)1996年建塔楼  -  陈家祠', '200万', '单价27690元/平米')
('https://image1.ljcdn.com/440100-inspection/f997b8b4-dc35-4432-a472-a3dd33d70d89.jpg.296x216.jpg', '黄沙地铁口 精装楼梯大两房 通风采光好', '丛桂路  | 2室1厅 | 90.98平米 | 东北 | 简装', '高楼层(共9层)塔楼  -  黄沙', '290万', '单价31876元/平米')
('', '西湾路大岗元 2室2厅 285万', '西湾路大岗元  | 2室2厅 | 65.61平米 | 南 | 其他 | 无电梯', '高楼层(共6层)塔楼  -  西村', '285万', '单价43439元/平米')
('https://image1.ljcdn.com/440100-inspection/588d2cdd-0af3-4794-992c-515498dbc048.jpg.296x216.jpg', '保利塞纳维拉 三房南向单位 带门前花园', '保利塞纳维拉  | 3室1厅 | 97平米 | 南 | 其他 | 有电梯', '低楼层(共17层)2015年建塔楼  -  龙溪', '360万', '单价37114元/平米')
('https://image1.ljcdn.com/440100-inspection/7fe16374-0349-4d19-a8c4-d3055a6ce4ab.jpg.296x216.jpg', '红楼路 泳场宿舍 高层二房 采光好', '红楼泳场宿舍  | 2室1厅 | 48.14平米 | 东北 | 简装 | 无电梯', '高楼层(共9层)塔楼  -  大坦沙', '160万', '单价33237元/平米')
('https://image1.ljcdn.com/440100-inspection/5fb40dbe-4e1b-4fc4-94a0-224a18fd17e2.jpg.296x216.jpg', '保利塞纳维拉 北向电梯两房 环境幽静舒', '保利塞纳维拉  | 2室2厅 | 70.53平米 | 北 | 其他 | 有电梯', '中楼层(共18层)2015年建塔楼  -  龙溪', '230万', '单价32611元/平米')
('https://image1.ljcdn.com/440100-inspection/70cc258b-09d3-495a-83b7-a50bd6a5f08d.jpg.296x216.jpg', '中山八路 实用一房 格局方正', '龙津西路恩洲北横街  | 1室1厅 | 36.96平米 | 东南 | 其他', '高楼层(共8层)塔楼  -  中山八', '128万', '单价34633元/平米')
('https://image1.ljcdn.com/440100-inspection/9df59e8a-8c33-4a81-ac8f-f225e57240de.jpg.296x216.jpg', '路劲隽泷湾 精装修 高层江景单元望花地河', '路劲隽泷湾  | 3室2厅 | 91平米 | 东北 | 其他 | 有电梯', '高楼层(共31层)2013年建塔楼  -  龙溪', '350万', '单价38462元/平米')
('https://image1.ljcdn.com/440100-inspection/dd3a8438-dcec-4229-9e63-ed2d0e2080b1.jpg.296x216.jpg', '南岸路 电梯一房 配套完善', '荷柳苑  | 1室1厅 | 39.8平米 | 南 | 简装 | 无电梯', '高楼层(共9层)1990年建塔楼  -  南岸路', '140万', '单价35176元/平米')
('https://image1.ljcdn.com/440100-inspection/0171d6cd-d9cf-46ea-84c0-7b54373c762d.jpg.296x216.jpg', '芳村花园 电梯三房 方正实用 安静舒适', '芳村花园  | 3室1厅 | 116.78平米 | 南 | 其他 | 有电梯', '低楼层(共30层)1999年建塔楼  -  龙溪', '450万', '单价38534元/平米')
('', '荔港南湾 实用小三房 家私家电齐', '荔港南湾  | 2室2厅 | 73平米 | 西北 | 其他 | 有电梯', '中楼层(共28层)2008年建塔楼  -  南岸路', '280万', '单价38357元/平米')
('https://image1.ljcdn.com/440100-inspection/test-6e4b1cfa-0a0c-4055-997e-c58c6ce9fd9f.png.296x216.jpg', '金宇花园 精装修三房 望花园', '金宇花园  | 3室1厅 | 93.57平米 | 西北 | 精装 | 无电梯', '低楼层(共9层)1996年建塔楼  -  东塱', '265万', '单价28322元/平米')
('https://image1.ljcdn.com/440100-inspection/a0c95596-7e6f-4ccb-920d-8ebbab64f830.jpg.296x216.jpg', '东风西路 一房 一厅 采光通风好', '西场电器城  | 2室1厅 | 35.57平米 | 东南 | 其他 | 无电梯', '中楼层(共9层)塔楼  -  西村', '125万', '单价35142元/平米')
('https://image1.ljcdn.com/440100-inspection/80a91637-6ff4-45c8-ad2d-e5e838fcb3f4.jpg.296x216.jpg', '龙津东路 交通方便 间隔方正', '龙津东路  | 3室2厅 | 109.3平米 | 西 | 其他 | 无电梯', '高楼层(共9层)塔楼  -  陈家祠', '280万', '单价25618元/平米')
('https://image1.ljcdn.com/440100-inspection/93a564cc-77b3-4061-bd2d-96d1104ba54d.jpg.296x216.jpg', '逢源大街 家电家私齐 南向', '龙津西路逢源大街  | 2室1厅 | 50平米 | 南 | 其他', '高楼层(共8层)塔楼  -  黄沙', '160万', '单价32000元/平米')
('https://image1.ljcdn.com/440100-inspection/7c40bbf3-3566-4f21-8040-b3cdf0c38219.jpg.296x216.jpg', '恒荔湾畔 东北向望江 三房带主套', '恒荔湾畔  | 3室1厅 | 118.63平米 | 东北 | 其他 | 有电梯', '中楼层(共31层)2008年建塔楼  -  芳村大道', '600万', '单价50578元/平米')
('https://image1.ljcdn.com/440100-inspection/a6ab60c4-cbb6-4e94-8dd1-04fe617d9fb6.jpg.296x216.jpg', '桥东小区 方正三房 安静望花园', '桥东小区  | 3室1厅 | 80平米 | 东北 | 其他 | 无电梯', '低楼层(共9层)1995年建塔楼  -  滘口', '230万', '单价28750元/平米')
('https://image1.ljcdn.com/440100-inspection/5075727c-2354-4198-8422-ec2137033711.jpg.296x216.jpg', '芳园居 品质小区 电梯2房 赠送家私电器', '芳园居教师新村  | 3室2厅 | 122平米 | 东南 | 简装 | 有电梯', '高楼层(共25层)1998年建塔楼  -  龙溪', '345万', '单价28279元/平米')
('https://image1.ljcdn.com/440100-inspection/dc2650d7-85ae-483f-ad1b-f15b5480365e.jpg.296x216.jpg', '恒利翠竹苑 电梯3房 交通便利', '恒利翠竹苑二期  | 3室2厅 | 85平米 | 东 | 其他 | 有电梯', '高楼层(共24层)2007年建塔楼  -  花地大道', '360万', '单价42353元/平米')
('https://image1.ljcdn.com/440100-inspection/83a4dd69-e779-4578-b6e3-ac3a11244a8e.jpg.296x216.jpg', '金平大厦 电梯两房 装修新净 通风好', '金平大厦  | 2室2厅 | 67.27平米 | 东北 | 精装 | 有电梯', '中楼层(共18层)2000年建塔楼  -  西华路', '292万', '单价43408元/平米')
('', '万和苑 封闭小区管理 中层户型', '万和苑  | 3室2厅 | 97平米 | 南 | 其他 | 有电梯', '中楼层(共12层)2000年建塔楼  -  滘口', '325万', '单价33506元/平米')
('https://image1.ljcdn.com/440100-inspection/12bedec8-8a42-47b1-9326-e2d41929d580.jpg.296x216.jpg', '周门路 规划局宿舍 小区管理 产权清晰过五唯一物业', '规划局宿舍  | 2室1厅 | 84平米 | 南 北 | 精装 | 有电梯', '低楼层(共10层)1998年建塔楼  -  荔湾路', '310万', '单价36905元/平米')
('https://image1.ljcdn.com/440100-inspection/f3b7c5dc-55d8-4c55-8f9b-3280ff62c816.jpg.296x216.jpg', '瑞安花园中层精装三房两卫', '瑞安花园（佛山南海）  | 3室2厅 | 104平米 | 东北 | 其他 | 有电梯', '低楼层(共33层)2010年建塔楼  -  滘口', '245万', '单价23558元/平米')
('https://image1.ljcdn.com/440100-inspection/8b081fb2-b0e9-4541-b7b7-4a8adc5456b0.jpg.296x216.jpg', '荔湾路 中楼层三房 交通便利', '荔湾路95号大院  | 3室1厅 | 61平米 | 东 | 其他', '高楼层(共6层)板楼  -  荔湾路', '190万', '单价31148元/平米')
('https://image1.ljcdn.com/440100-inspection/becf0c5d-58e3-4da7-9bca-f176feaa3ef4.jpg.296x216.jpg', '保利公园九里 新装修 景观 楼龄新净', '保利公园九里  | 3室2厅 | 112.5平米 | 北 | 其他 | 有电梯', '中楼层(共32层)2014年建塔楼  -  龙溪', '420万', '单价37334元/平米')
('https://image1.ljcdn.com/440100-inspection/42295120-2b0a-40e6-8f15-4816fb1141f6.jpg.296x216.jpg', '凯粤湾 望花园精装2房免装修 小区中间', '新世界凯粤湾  | 2室2厅 | 75平米 | 西南 | 其他 | 有电梯', '中楼层(共33层)2014年建塔楼  -  滘口', '348万', '单价46400元/平米')
('https://image1.ljcdn.com/440100-inspection/00a924f5-c284-40fb-938b-f255d7d8f5e2.jpg.296x216.jpg', '西华路 中层实用两房', '西华路长福西街  | 2室1厅 | 58平米 | 南 北 | 其他 | 无电梯', '中楼层(共8层)板楼  -  西华路', '240万', '单价41380元/平米')
