('https://image1.ljcdn.com/440100-inspection/e0df61a8-104b-4ab7-9c42-4a78695b301f.jpg.296x216.jpg', '中层 南向 全线江景 二沙岛园景 小蛮腰夜景', '碧海湾  | 6室2厅 | 370.12平米 | 东南 | 精装 | 有电梯', '中楼层(共28层)2003年建塔楼  -  珠江新城西', '2670万', '单价72139元/平米')
('https://image1.ljcdn.com/440100-inspection/b6a6643b-2677-425b-ae72-ec1d62b2fd53.jpg.296x216.jpg', '美林海岸花园  安静西南向复式四房 适合住家及置换', '美林海岸花园  | 4室2厅 | 78.69平米 | 西南 | 简装 | 有电梯', '高楼层(共12层)2004年建塔楼  -  员村', '690万', '单价87686元/平米')
('https://image1.ljcdn.com/440100-inspection/3f5a8f28-3c83-4fe3-9402-43d6134addc0.jpg.296x216.jpg', '新世界东逸花园 方正实用 安静望花园', '新世界东逸花园  | 7室2厅 | 124.15平米 | 南 北 | 精装 | 有电梯', '低楼层(共18层)2003年建塔楼  -  天河公园', '850万', '单价68466元/平米')
('https://image1.ljcdn.com/440100-inspection/4a222575-8c52-46ba-ba24-e32dd123da31.jpg.296x216.jpg', '棠德花园 复式温馨两房 视野开阔', '棠德花园  | 2室1厅 | 71平米 | 东 | 简装 | 无电梯', '高楼层(共9层)1997年建塔楼  -  棠下', '198万', '单价27888元/平米')
('https://image1.ljcdn.com/440100-inspection/263f393b-5bc4-4744-bc8e-2cd02405a8d8.jpg.296x216.jpg', '复式四房 南向双阳台 带天台花园', '南华工商学院  | 4室2厅 | 110.37平米 | 南 | 简装', '高楼层(共6层)2005年建塔楼  -  沙太南', '368万', '单价33343元/平米')
('https://image1.ljcdn.com/440100-inspection/c58c06a1-4343-44dd-8e31-2ee95fe600c4.jpg.296x216.jpg', '华景新城 翠安侬苑 西南向大四房 采光视野好', '华景新城翠安侬苑  | 4室2厅 | 170.51平米 | 西南 | 简装 | 有电梯', '中楼层(共32层)2002年建塔楼  -  华景新城', '850万', '单价49851元/平米')
('https://image1.ljcdn.com/440100-inspection/857b19e6-c385-47e5-9cad-cda76b0ae3be.jpg.296x216.jpg', '方圆月岛 大四房格局方正', '方圆月岛  | 4室2厅 | 248.29平米 | 东 | 简装 | 有电梯', '低楼层(共46层)2009年建塔楼  -  珠江新城中', '2118万', '单价85304元/平米')
('https://image1.ljcdn.com/440100-inspection/99badc24-21e4-420c-9316-76a4c9154141.jpg.296x216.jpg', '六运小区 3房1厅 户型方正 采光好', '花园大厦  | 3室1厅 | 113平米 | 南 | 简装 | 有电梯', '低楼层(共18层)1997年建塔楼  -  天河南', '580万', '单价51328元/平米')
('https://image1.ljcdn.com/440100-inspection/8f5645c7-fc3f-4b07-855d-e851acc150f6.jpg.296x216.jpg', '珠江俊园 3室2厅 730万', '珠江俊园  | 3室2厅 | 122.8平米 | 东 | 精装 | 有电梯', '中楼层(共28层)2007年建塔楼  -  华景新城', '730万', '单价59447元/平米')
('https://image1.ljcdn.com/440100-inspection/7fe9915e-1ded-43bf-878c-5517fbd04a7a.jpg.296x216.jpg', '东方之珠花园 宽敞明亮 实用大四房', '东方之珠花园  | 4室2厅 | 130.08平米 | 东北 | 简装 | 有电梯', '中楼层(共28层)2004年建塔楼  -  天润路', '730万', '单价56120元/平米')
('https://image1.ljcdn.com/440100-inspection/6f96ec1c-08c2-419e-a4c3-a22a404096e6.jpg.296x216.jpg', '骏景花园 高层三房 通风采光好 视野宽阔', '骏景花园  | 3室2厅 | 106.38平米 | 北 | 简装 | 有电梯', '高楼层(共13层)2000年建塔楼  -  棠下', '510万', '单价47942元/平米')
('https://image1.ljcdn.com/440100-inspection/2f7699e1-1a69-4b60-9ef8-41c282b7b7f1.jpg.296x216.jpg', '凯旋新世界广粤尊府 3室2厅 2450万', '凯旋新世界广粤尊府  | 3室2厅 | 195.41平米 | 北 | 精装 | 有电梯', '中楼层(共26层)2012年建塔楼  -  珠江新城东', '2450万', '单价125378元/平米')
('https://image1.ljcdn.com/440100-inspection/b09a0816-9026-4e6e-93d8-45f0b3b1da22.jpg.296x216.jpg', '柏林国际 精装一房一厅 电梯 中高层', '铂林国际公寓  | 1室1厅 | 38.56平米 | 北 | 精装 | 有电梯', '高楼层(共22层)2005年建塔楼  -  珠江新城西', '325万', '单价84285元/平米')
('https://image1.ljcdn.com/440100-inspection/d49bbe42-91b9-443f-be30-02d74d10d540.jpg.296x216.jpg', '穗园小区 3室2厅 650万', '穗园小区  | 3室2厅 | 101.49平米 | 南 | 其他 | 有电梯', '高楼层(共30层)2000年建塔楼  -  天润路', '650万', '单价64046元/平米')
('https://image1.ljcdn.com/440100-inspection/2f7903bf-94ae-4a32-85d4-bdc2eca5de11.jpg.296x216.jpg', '嘉怡苑 南向三房 视野开阔 交通便利', '嘉怡苑  | 3室2厅 | 114.65平米 | 南 | 精装 | 有电梯', '中楼层(共27层)1998年建塔楼  -  天河北', '800万', '单价69778元/平米')
('https://image1.ljcdn.com/440100-inspection/1ef9599c-c7f8-4b3d-8f57-3d38acf39d2f.jpg.296x216.jpg', '天河广场 东圃繁华地段 精装电梯2居室', '天河广场  | 2室2厅 | 71.66平米 | 南 | 简装 | 有电梯', '低楼层(共23层)1996年建塔楼  -  东圃', '280万', '单价39074元/平米')
('https://image1.ljcdn.com/440100-inspection/dd30b3f4-9ad1-4cc4-a39d-6d15f8ff4206.jpg.296x216.jpg', '君怡大厦 实用三房 保养新净 安静望花园', '君怡大厦  | 3室2厅 | 131.52平米 | 北 | 精装 | 有电梯', '低楼层(共29层)1996年建塔楼  -  珠江新城东', '930万', '单价70712元/平米')
('https://image1.ljcdn.com/440100-inspection/4ad9e299-8261-4ec4-9256-f3c2f754c0e6.jpg.296x216.jpg', '东方新世界 南向三房 安静舒适 品质小区 交通便利', '东方新世界  | 3室2厅 | 138.13平米 | 南 | 简装 | 有电梯', '低楼层(共28层)2007年建塔楼  -  天河公园', '1100万', '单价79636元/平米')
('https://image1.ljcdn.com/440100-inspection/a0228c5e-7f95-403a-83e8-805fa5213ec9.jpg.296x216.jpg', '中海璟晖 四房 装修温馨舒适 厅出阳台', '中海璟晖华庭  | 4室2厅 | 194.06平米 | 东 | 精装 | 有电梯', '低楼层(共32层)2007年建塔楼  -  珠江新城中', '1450万', '单价74720元/平米')
('https://image1.ljcdn.com/440100-inspection/db705627-1a97-4cbe-b6c1-341d7afaa7a6.jpg.296x216.jpg', '中铁盛德国际 2室2厅 400万', '中铁盛德国际  | 2室2厅 | 75.45平米 | 北 | 精装 | 有电梯', '高楼层(共37层)2013年建塔楼  -  石牌', '400万', '单价53016元/平米')
('https://image1.ljcdn.com/440100-inspection/921b0bd5-4a11-4b50-8b6d-4ef0e57d4434.jpg.296x216.jpg', '华景新城翠安侬苑 4室2厅 930万', '华景新城翠安侬苑  | 4室2厅 | 174.06平米 | 西南 | 其他 | 有电梯', '高楼层(共32层)2002年建塔楼  -  华景新城', '930万', '单价53430元/平米')
('https://image1.ljcdn.com/440100-inspection/ba6f9602-233f-4473-a4ee-10e568c4f14b.jpg.296x216.jpg', '金兴花园 2室2厅 270万', '金兴花园  | 2室2厅 | 59.27平米 | 北 | 简装 | 无电梯', '低楼层(共9层)1996年建塔楼  -  天河公园', '270万', '单价45555元/平米')
('https://image1.ljcdn.com/440100-inspection/1340494c-9f7c-4249-af48-53e73afde943.jpg.296x216.jpg', '汇峰 地铁口 高层精装 通风采光好', '汇峰苑  | 2室2厅 | 76.97平米 | 北 | 精装 | 有电梯', '高楼层(共43层)2008年建塔楼  -  珠江新城中', '620万', '单价80551元/平米')
('https://image1.ljcdn.com/440100-inspection/3eaf8db1-4c45-476f-8aaf-774341e0ee53.jpg.296x216.jpg', '翠安侬苑 高层安静四居室 通风采光好', '华景新城翠安侬苑  | 4室2厅 | 174.06平米 | 东南 | 精装 | 有电梯', '高楼层(共32层)2002年建塔楼  -  华景新城', '1080万', '单价62048元/平米')
('https://image1.ljcdn.com/440100-inspection/561f2842-6774-4ff9-8d99-7a08af31d0b3.jpg.296x216.jpg', '金碧华府 3室2厅 1413万', '金碧华府  | 3室2厅 | 157.03平米 | 南 | 精装 | 有电梯', '低楼层(共25层)2001年建塔楼  -  珠江新城东', '1413万', '单价89983元/平米')
('https://image1.ljcdn.com/440100-inspection/27ec3444-fed2-4db2-ae19-e305e3468bbe.jpg.296x216.jpg', '天河山庄 温馨三房 白云山下', '天河山庄富华街  | 3室2厅 | 85.91平米 | 北 | 精装 | 无电梯', '高楼层(共7层)1996年建塔楼  -  沙河', '235万', '单价27355元/平米')
('https://image1.ljcdn.com/440100-inspection/5a77b07d-c068-4431-ab67-4656c1369384.jpg.296x216.jpg', '华标广场 4室2厅 930万', '华标广场  | 4室2厅 | 164.98平米 | 北 | 其他 | 有电梯', '中楼层(共30层)2003年建塔楼  -  天润路', '930万', '单价56371元/平米')
('https://image1.ljcdn.com/440100-inspection/5f85ee43-0b88-4c02-b7ea-a51753cd2670.jpg.296x216.jpg', '远洋明苑，温馨一房，户型正，交通便利', '远洋明苑  | 1室1厅 | 38平米 | 北 | 精装 | 有电梯', '高楼层(共12层)2003年建塔楼  -  东圃', '178万', '单价46843元/平米')
('https://image1.ljcdn.com/440100-inspection/8abdf961-21d7-4e20-b438-617871c1a839.jpg.296x216.jpg', '中海康城 2室2厅 335万', '中海康城  | 2室2厅 | 84.36平米 | 北 东北 | 精装 | 有电梯', '低楼层(共18层)2002年建塔楼  -  黄村', '335万', '单价39711元/平米')
('https://image1.ljcdn.com/440100-inspection/0bc7a81a-d203-4d0c-a92c-a00707e6897e.jpg.296x216.jpg', '朱美拉 南向 高层大三房 安静舒适', '朱美拉公寓  | 3室2厅 | 141平米 | 南 | 其他 | 有电梯', '中楼层(共45层)2009年建塔楼  -  珠江新城中', '1230万', '单价87235元/平米')
('https://image1.ljcdn.com/440100-inspection/14d823d9-856b-4b19-8e0d-8783466befc9.jpg.296x216.jpg', '天河公园 力迅T 精装3房 南向带主套', '力迅T  | 3室2厅 | 114平米 | 南 | 精装 | 有电梯', '高楼层(共27层)2012年建塔楼  -  天河公园', '706万', '单价61930元/平米')
('https://image1.ljcdn.com/440100-inspection/0b658bfc-f0fd-48b4-acfc-e941b4b85614.jpg.296x216.jpg', '华景新城芳满庭园 2室2厅 430万', '华景新城芳满庭园  | 2室2厅 | 75.92平米 | 北 | 简装 | 有电梯', '低楼层(共36层)2005年建塔楼  -  华景新城', '430万', '单价56639元/平米')
('https://image1.ljcdn.com/440100-inspection/70447ef7-ebe6-49c1-9ec3-e239e2b030d7.jpg.296x216.jpg', '珠江新城  星汇园三居室  花园小区 采光好 视野好', '星汇园  | 3室2厅 | 129.93平米 | 东 | 其他 | 有电梯', '中楼层(共32层)2002年建塔楼  -  珠江新城西', '1100万', '单价84661元/平米')
('https://image1.ljcdn.com/440100-inspection/a0588b3b-f2f1-4e2b-9e51-06746356251c.JPG.296x216.jpg', '天晟明苑 1室0厅 245万', '天晟明苑  | 1室0厅 | 53.24平米 | 北 | 简装', '低楼层(共28层)1997年建塔楼  -  石牌', '245万', '单价46019元/平米')
('https://image1.ljcdn.com/440100-inspection/0c7de873-94f4-4dcd-b6dc-85df33905b44.jpg.296x216.jpg', '隽峰苑 方正实用两房 楼层佳', '隽峰苑  | 2室1厅 | 64平米 | 北 | 简装 | 有电梯', '中楼层(共32层)2008年建塔楼  -  珠江新城中', '568万', '单价88750元/平米')
('https://image1.ljcdn.com/440100-inspection/1ce0c048-f3be-4f2a-9c8d-aeee311c064f.jpg.296x216.jpg', '天河北 馨怡花苑 实用三房 安静住家', '馨怡花苑  | 3室2厅 | 78.35平米 | 东北 | 精装 | 无电梯', '低楼层(共9层)1996年建塔楼  -  天润路', '400万', '单价51053元/平米')
('https://image1.ljcdn.com/440100-inspection/113ae153-8b4b-4aa4-90b2-95ff359e1599.jpg.296x216.jpg', '穗园小区 2室2厅 525万', '穗园小区  | 2室2厅 | 86.74平米 | 东北 | 其他 | 有电梯', '高楼层(共30层)2000年建塔楼  -  天润路', '525万', '单价60526元/平米')
('https://image1.ljcdn.com/440100-inspection/07d838cd-7c80-4030-b862-287310aff99c.jpg.296x216.jpg', '誉城苑 3室2厅 520万', '誉城苑  | 3室2厅 | 84.21平米 | 东南 | 其他 | 有电梯', '中楼层(共20层)2001年建塔楼  -  珠江新城东', '520万', '单价61751元/平米')
('https://image1.ljcdn.com/440100-inspection/74cd7c7c-1bd7-4c6b-92b0-ed645cf845fa.jpg.296x216.jpg', '天誉花园 精装3房 木质地板 中高楼层', '天誉花园  | 3室2厅 | 142.7平米 | 北 | 精装 | 有电梯', '中楼层(共31层)1998年建塔楼  -  天河北', '850万', '单价59566元/平米')
('https://image1.ljcdn.com/440100-inspection/27d353dd-49c1-44aa-b5be-66cb288a4dc6.jpg.296x216.jpg', '华景新城叠翠居 3室2厅 460万', '华景新城叠翠居  | 3室2厅 | 87.78平米 | 东北 | 精装 | 无电梯', '低楼层(共9层)1994年建塔楼  -  华景新城', '460万', '单价52404元/平米')
('https://image1.ljcdn.com/440100-inspection/2f628372-83a2-4264-a5e3-0855945ea293.jpg.296x216.jpg', '南兴花园 3室2厅 398万', '南兴花园  | 3室2厅 | 99.26平米 | 西南 | 其他 | 有电梯', '低楼层(共18层)2004年建塔楼  -  沙太北', '398万', '单价40097元/平米')
('https://image1.ljcdn.com/440100-inspection/e29025d0-9cc1-4d58-b65e-946aafad310f.jpg.296x216.jpg', '金湖雅苑 2室1厅 195万', '金湖雅苑  | 2室1厅 | 67.89平米 | 北 | 其他 | 无电梯', '高楼层(共9层)1999年建塔楼  -  沙太北', '195万', '单价28723元/平米')
('https://image1.ljcdn.com/440100-inspection/de592643-2673-4d0e-9580-b571fa495fa8.jpg.296x216.jpg', '骏景花园 正规两房  楼龄新', '骏景花园  | 2室2厅 | 79.42平米 | 北 | 简装 | 有电梯', '低楼层(共11层)2006年建塔楼  -  棠下', '375万', '单价47218元/平米')
('https://image1.ljcdn.com/440100-inspection/ec808624-05a2-4616-9427-c8e7b1fb2f7f.jpg.296x216.jpg', '金田花苑 3室2厅 600万', '金田花苑  | 3室2厅 | 114.05平米 | 北 | 简装 | 有电梯', '低楼层(共19层)1997年建塔楼  -  天润路', '600万', '单价52609元/平米')
('https://image1.ljcdn.com/440100-inspection/f115e7ef-d57c-4aee-9abb-3efd0d3e02d7.jpg.296x216.jpg', '中兴花园二期 南向看花园三房 新装保养好', '中兴花园二期  | 3室2厅 | 101.17平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2001年建塔楼  -  东圃', '530万', '单价52388元/平米')
('https://image1.ljcdn.com/440100-inspection/635a2501-6c30-4ed1-bec6-5eb0f3dc0db8.jpg.296x216.jpg', '德荣小区 2室1厅 328万', '德荣小区  | 2室1厅 | 65.39平米 | 南 | 简装 | 有电梯', '低楼层(共8层)1995年建塔楼  -  龙口西', '328万', '单价50161元/平米')
('https://image1.ljcdn.com/440100-inspection/ae5a42fb-eced-4d5c-a017-1871f44a879c.jpg.296x216.jpg', '银燕大厦 2室2厅 320万', '银燕大厦  | 2室2厅 | 85平米 | 北 | 其他 | 有电梯', '低楼层(共24层)1998年建塔楼  -  粤垦', '320万', '单价37648元/平米')
('https://image1.ljcdn.com/440100-inspection/43993641-9703-4cdf-82fe-0a6f3cf3f147.jpg.296x216.jpg', '金建苑 电梯二房 视野好采光好', '金建苑  | 2室1厅 | 63.37平米 | 南 | 其他 | 无电梯', '高楼层(共9层)1995年建塔楼  -  东莞庄', '283万', '单价44659元/平米')
('https://image1.ljcdn.com/440100-inspection/39f6e525-5702-4354-9c7a-377b15fb7c38.jpg.296x216.jpg', '东晖花园 户型方正 朝向好 带平台花园', '东晖花园  | 3室2厅 | 138.37平米 | 东南 | 简装 | 有电梯', '低楼层(共10层)1999年建塔楼  -  天河公园', '850万', '单价61430元/平米')
('https://image1.ljcdn.com/440100-inspection/3e62c3f8-76c4-4dc3-8f3c-8a292db460fd.jpg.296x216.jpg', '龙口中路 电梯大三房 精装自住 带大阳台', '中南小区  | 3室2厅 | 91.3平米 | 北 | 精装', '高楼层(共11层)1994年建塔楼  -  龙口西', '508万', '单价55641元/平米')
('https://image1.ljcdn.com/440100-inspection/83f33faa-24cd-4847-813c-272073971700.jpg.296x216.jpg', '皓瀚华轩 2室2厅 760万', '皓瀚华轩  | 2室2厅 | 105.72平米 | 北 | 其他 | 有电梯', '中楼层(共22层)2000年建塔楼  -  珠江新城西', '760万', '单价71889元/平米')
('https://image1.ljcdn.com/440100-inspection/020f3d24-404d-4530-ba4e-db4581c6576b.jpg.296x216.jpg', '南向通透 居家改善户型 格局方正 大两房厅大舒适', '美林海岸花园  | 2室1厅 | 81.42平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2003年建塔楼  -  员村', '495万', '单价60796元/平米')
('https://image1.ljcdn.com/440100-inspection/75765108-3d6f-4e38-88f8-18f3877c8bbf.jpg.296x216.jpg', '海景花园小区 方正四房 采光好', '海景花园  | 4室2厅 | 174.19平米 | 南 | 其他 | 有电梯', '中楼层(共29层)2003年建塔楼  -  天河公园', '1000万', '单价57409元/平米')
('https://image1.ljcdn.com/440100-inspection/d902b596-81fa-437e-ac5e-519e3bbae9a8.jpg.296x216.jpg', '环宇花园文景阁 1室0厅 145万', '环宇花园文景阁  | 1室0厅 | 25.11平米 | 南 | 简装 | 有电梯', '高楼层(共19层)2000年建塔楼  -  天河公园', '145万', '单价57746元/平米')
('https://image1.ljcdn.com/440100-inspection/518774cf-a68e-4846-99f3-20186468e5c9.jpg.296x216.jpg', '骏景花园 温馨两房 望花园 通风好', '骏景花园  | 2室1厅 | 89平米 | 北 | 简装 | 有电梯', '低楼层(共12层)2000年建塔楼  -  棠下', '440万', '单价49439元/平米')
('https://image1.ljcdn.com/440100-inspection/49b55ded-d2e7-4f90-8807-d2d85161b67b.jpg.296x216.jpg', '育蕾小区 2房1厅 环境安静 交通方便 购物方便', '育蕾小区体育西路  | 2室1厅 | 70.67平米 | 东北 | 精装 | 无电梯', '高楼层(共9层)1993年建塔楼  -  天河南', '400万', '单价56602元/平米')
('https://image1.ljcdn.com/440100-inspection/e8270454-dedf-4727-9f7a-25273fd05326.jpg.296x216.jpg', '邮通小区 南北通透两房 楼层好 装修一般', '邮通小区  | 2室1厅 | 65平米 | 南 | 简装 | 无电梯', '低楼层(共8层)1990年建塔楼  -  华景新城', '330万', '单价50770元/平米')
('https://image1.ljcdn.com/440100-inspection/d0c87844-3a85-4952-b03a-a31452a69f10.jpg.296x216.jpg', '翠湖山庄 温馨三房 采光好', '翠湖山庄  | 3室2厅 | 89平米 | 西北 | 精装 | 有电梯', '中楼层(共13层)1999年建塔楼  -  天河公园', '400万', '单价44944元/平米')
('https://image1.ljcdn.com/440100-inspection/7175ca9f-5d16-45d3-ba2a-9d624ee5629b.JPG.296x216.jpg', '丽晶华庭 2室2厅 600万', '丽晶华庭  | 2室2厅 | 77.11平米 | 南 | 其他 | 有电梯', '中楼层(共30层)1998年建塔楼  -  珠江新城西', '600万', '单价77811元/平米')
('https://image1.ljcdn.com/440100-inspection/e7327915-49e7-462d-813a-ca6ff2f771da.jpg.296x216.jpg', '东站天誉花园 精装三房 保养好 格局方正', '天誉花园  | 3室2厅 | 151平米 | 东北 | 精装 | 有电梯', '中楼层(共31层)1998年建塔楼  -  天河北', '800万', '单价52981元/平米')
('https://image1.ljcdn.com/440100-inspection/b19f8264-bd2c-469f-aace-e92a219e2093.jpg.296x216.jpg', '珠江新城 交通便利 经典大复式 交通方便', '名门大厦  | 3室2厅 | 156平米 | 北 | 简装 | 有电梯', '中楼层(共33层)1997年建塔楼  -  珠江新城西', '830万', '单价53206元/平米')
('https://image1.ljcdn.com/440100-inspection/d5e4ea16-29cd-4541-a8b5-b36d757d0bb2.jpg.296x216.jpg', '德荣小区 2室1厅 418万', '德荣小区  | 2室1厅 | 68.33平米 | 南 北 | 简装 | 有电梯', '中楼层(共8层)1995年建塔楼  -  龙口西', '418万', '单价61174元/平米')
('https://image1.ljcdn.com/440100-inspection/77e1c453-4ce1-44e0-b3be-16040b83d500.jpg.296x216.jpg', '华景六期  方正三方 安静舒适', '华景新城逸致居  | 3室1厅 | 94.35平米 | 东北 | 精装 | 有电梯', '高楼层(共31层)2000年建塔楼  -  华景新城', '580万', '单价61474元/平米')
('https://image1.ljcdn.com/440100-inspection/bc74a700-a4a3-4be8-bc29-e8e519340281.jpg.296x216.jpg', '天河山庄富华街 3室2厅 242万', '天河山庄富华街  | 3室2厅 | 74.84平米 | 东南 | 其他 | 无电梯', '高楼层(共7层)1996年建塔楼  -  沙河', '242万', '单价32336元/平米')
('https://image1.ljcdn.com/440100-inspection/059355bb-77c6-43bf-9147-a8f0f48db44e.jpg.296x216.jpg', '中山三院宿舍 高层电梯两房 格局方正', '中山三院宿舍  | 2室2厅 | 62.01平米 | 南 北 | 精装 | 无电梯', '高楼层(共9层)1990年建塔楼  -  石牌', '350万', '单价56443元/平米')
('https://image1.ljcdn.com/440100-inspection/82814a29-d030-43d9-aef9-6eae25c20ca5.jpg.296x216.jpg', '六运小区 一房一厅 装修保养好', '六运小区  | 1室1厅 | 48平米 | 西 | 精装 | 无电梯', '中楼层(共9层)1993年建塔楼  -  天河南', '275万', '单价57292元/平米')
('https://image1.ljcdn.com/440100-inspection/e1e786f7-3999-4601-b0ff-ac4d7beb029e.jpg.296x216.jpg', '雅怡居  中楼层  小两房 东北向', '雅怡居  | 2室1厅 | 47.85平米 | 东北 | 其他 | 无电梯', '高楼层(共9层)2000年建塔楼  -  东圃', '185万', '单价38663元/平米')
('https://image1.ljcdn.com/440100-inspection/9372c1bd-4d0b-4ba7-83f8-25b6c55c1575.jpg.296x216.jpg', '骏景花园 南苑正规大三房 保养很好', '骏景花园  | 3室2厅 | 103平米 | 南 | 精装 | 有电梯', '中楼层(共13层)2000年建塔楼  -  棠下', '545万', '单价52913元/平米')
('https://image1.ljcdn.com/440100-inspection/68a33198-1eaf-4885-a203-13614b305818.jpg.296x216.jpg', '广海花园 实用型三房 精装修 满五年唯一', '广海花园二期  | 3室2厅 | 71.26平米 | 南 北 | 精装 | 无电梯', '中楼层(共9层)1998年建塔楼  -  天河公园', '310万', '单价43503元/平米')
('https://image1.ljcdn.com/440100-inspection/80eda4a5-a88d-41ea-907e-c65073e561f2.jpg.296x216.jpg', '四航局大院 实用2房', '四航局大院  | 2室1厅 | 73平米 | 北 | 简装 | 无电梯', '低楼层(共9层)塔楼  -  沙河', '250万', '单价34247元/平米')
('https://image1.ljcdn.com/440100-inspection/10048db4-f767-491c-a4d9-03164c349679.jpg.296x216.jpg', '碧海湾 四房两厅 证满两年', '碧海湾  | 3室2厅 | 128平米 | 东南 | 简装 | 有电梯', '中楼层(共28层)2003年建塔楼  -  珠江新城西', '950万', '单价74219元/平米')
('https://image1.ljcdn.com/440100-inspection/48976f05-8be2-44b0-b66f-5c46982b5432.jpg.296x216.jpg', '金建苑 电梯一房一厅 采光通风好', '金建苑  | 1室1厅 | 42平米 | 南 北 | 其他 | 无电梯', '高楼层(共9层)1995年建塔楼  -  东莞庄', '180万', '单价42858元/平米')
('https://image1.ljcdn.com/440100-inspection/9dab4ed9-8c7a-490e-b1f9-d48133c285a3.jpg.296x216.jpg', '骏景花园 采光通风好', '骏景花园  | 3室2厅 | 103平米 | 东南 | 简装 | 有电梯', '低楼层(共12层)2000年建塔楼  -  棠下', '535万', '单价51942元/平米')
('https://image1.ljcdn.com/440100-inspection/ed1f80e9-5423-4ab9-8ed0-556a25c580b4.jpg.296x216.jpg', '棠德花园 2室1厅 205万', '棠德花园  | 2室1厅 | 65.62平米 | 东 | 精装 | 无电梯', '低楼层(共10层)1997年建塔楼  -  棠下', '205万', '单价31241元/平米')
('https://image1.ljcdn.com/440100-inspection/6c84e484-ebb3-4724-92ec-7194748b1541.jpg.296x216.jpg', '中明大厦 三房带主套 住家新装修', '中明大厦  | 3室2厅 | 131.64平米 | 东南 | 简装 | 有电梯', '中楼层(共16层)2000年建塔楼  -  龙口西', '650万', '单价49378元/平米')
('https://image1.ljcdn.com/440100-inspection/067d1209-4c1c-4cab-98c5-f85d76ed78e6.jpg.296x216.jpg', '理想蓝堡 安静三房 户型方正', '理想蓝堡国际花园  | 3室2厅 | 133平米 | 南 | 精装 | 有电梯', '高楼层(共29层)2004年建塔楼  -  天河公园', '1000万', '单价75188元/平米')
('https://image1.ljcdn.com/440100-inspection/58c2d633-5193-4355-955d-6258609a16e8.jpg.296x216.jpg', '天朗明居 东南向二房 格局方正 采光通风好', '富力天朗明居S区  | 2室2厅 | 67平米 | 东南 | 其他 | 有电梯', '高楼层(共18层)2001年建塔楼  -  棠下', '320万', '单价47762元/平米')
('https://image1.ljcdn.com/440100-inspection/d0085088-7e7a-4d20-9905-6003ec5cb309.jpg.296x216.jpg', '华苑大厦  间格方正 采光通风好', '华苑大厦  | 1室1厅 | 48.42平米 | 南 | 简装 | 有电梯', '低楼层(共30层)1998年建塔楼  -  体育中心', '285万', '单价58860元/平米')
('https://image1.ljcdn.com/440100-inspection/808c9369-5d4a-4083-b25c-991d8814407e.jpg.296x216.jpg', '东璟花园 实用两房', '东璟花园  | 2室1厅 | 65.39平米 | 西南 | 简装 | 有电梯', '中楼层(共16层)2004年建塔楼  -  员村', '378万', '单价57808元/平米')
('https://image1.ljcdn.com/440100-inspection/71d589f5-78a1-45df-ac58-52e77ab3328c.jpg.296x216.jpg', '都市华庭 大三房 望体育*', '都市华庭  | 3室2厅 | 155.18平米 | 西 | 精装 | 有电梯', '高楼层(共32层)2001年建塔楼  -  体育中心', '1055.3万', '单价68000元/平米')
('https://image1.ljcdn.com/440100-inspection/9c5ed438-8007-42f5-b357-3f3c012c7da5.jpg.296x216.jpg', '铂林国际公寓 1房2厅 320万元', '铂林国际公寓  | 1室2厅 | 35平米 | 南 | 简装 | 有电梯', '高楼层(共22层)2005年建塔楼  -  珠江新城西', '320万', '单价91429元/平米')
('https://image1.ljcdn.com/440100-inspection/dfd3b68e-1a7d-4478-9f75-19ed2ea6c90e.jpg.296x216.jpg', '天朗明居 户型方正 精致装修', '富力天朗明居S区  | 3室1厅 | 75平米 | 北 | 精装 | 有电梯', '低楼层(共18层)2001年建塔楼  -  棠下', '340万', '单价45334元/平米')
('https://image1.ljcdn.com/440100-inspection/98f90534-70e2-4515-88df-c5b0f12c2cb9.jpg.296x216.jpg', '五山路小区 旺中取静 带后花园 实用性强', '五山路  | 1室0厅 | 26.64平米 | 南 | 简装', '低楼层(共6层)板楼  -  五山', '150万', '单价56307元/平米')
('https://image1.ljcdn.com/440100-inspection/be84b32b-cdcc-44b1-a09d-3cee0a50d93d.jpg.296x216.jpg', '隽园 南北向三房 户型方正通风', '隽园  | 3室2厅 | 79.25平米 | 西北 | 精装 | 有电梯', '中楼层(共31层)2007年建塔楼  -  天河公园', '575万', '单价72556元/平米')
('https://image1.ljcdn.com/440100-inspection/a44ea844-69df-49cf-ab80-9fbc1220882a.jpg.296x216.jpg', '五山路 温馨居家 南向 实用三房', '五山路  | 3室2厅 | 74.18平米 | 南 | 简装', '高楼层(共6层)板楼  -  五山', '370万', '单价49879元/平米')
('https://image1.ljcdn.com/440100-inspection/2c6241ae-c12f-44e7-8179-d17555c2a649.jpg.296x216.jpg', '龙口中路 大三房 南北通透', '龙口中路  | 3室2厅 | 101平米 | 南 北 | 简装 | 无电梯', '高楼层(共9层)1995年建塔楼  -  龙口东', '488万', '单价48317元/平米')
('https://image1.ljcdn.com/440100-inspection/8c6aaa12-c570-4023-b750-cb715798b75c.jpg.296x216.jpg', '陶然庭园 采光充足三房 格局方正', '华景新城陶然庭园  | 3室2厅 | 85.12平米 | 北 | 精装 | 有电梯', '低楼层(共36层)2006年建塔楼  -  华景新城', '510万', '单价59916元/平米')
