('https://image1.ljcdn.com/440100-inspection/36abca9a-dbc8-4db3-8b5c-20f0a1dc5886.jpg.296x216.jpg', '嘉鸿花园金玫瑰园 2室1厅 288万', '嘉鸿花园金玫瑰园  | 2室1厅 | 69.35平米 | 东南 | 其他 | 有电梯', '中楼层(共19层)1999年建塔楼  -  金碧', '288万', '单价41529元/平米')
('https://image1.ljcdn.com/440100-inspection/d040ab0e-368a-4c23-b6fc-d6ecb344e47d.jpg.296x216.jpg', '业主诚意出售', '新港西路214号大院  | 3室1厅 | 73.41平米 | 西南 | 其他 | 无电梯', '中楼层(共8层)1997年建塔楼  -  新港西', '308万', '单价41957元/平米')
('https://image1.ljcdn.com/440100-inspection/998baa59-7e35-4fea-bca8-a84b739cf64a.JPG.296x216.jpg', '顺景雅苑 户型方正 证过五年', '顺景雅苑  | 3室2厅 | 81.04平米 | 北 | 简装 | 有电梯', '低楼层(共13层)2000年建塔楼  -  新港西', '360万', '单价44423元/平米')
('https://image1.ljcdn.com/440100-inspection/44d946d4-a28d-4253-8a10-28ab20c0f414.jpg.296x216.jpg', '海琴湾 精装修 格局方正', '海琴湾  | 5室2厅 | 157.11平米 | 西北 | 其他 | 有电梯', '高楼层(共32层)2002年建塔楼  -  滨江东', '990万', '单价63014元/平米')
('https://image1.ljcdn.com/440100-inspection/9cdd3dfe-0b59-4827-984d-9d8ab102ee27.JPG.296x216.jpg', '明珠花园 3室2厅 430万', '明珠花园  | 3室2厅 | 100.29平米 | 西 | 精装 | 有电梯', '高楼层(共33层)1996年建塔楼  -  东晓路', '430万', '单价42876元/平米')
('https://image1.ljcdn.com/440100-inspection/da3fb232-bf9b-4ea0-a3bc-71a8d00e1716.jpg.296x216.jpg', '英豪花园阳光320 2室1厅 310万', '英豪花园阳光320  | 2室1厅 | 72.28平米 | 北 | 精装 | 有电梯', '低楼层(共28层)2005年建塔楼  -  金碧', '310万', '单价42889元/平米')
('https://image1.ljcdn.com/440100-inspection/test-75034669-4f06-4114-bd08-9d5d6a4b0f8f.png.296x216.jpg', '金玫瑰苑 东向高层单位 安静一房一厅 方正实用 采光好', '嘉鸿花园金玫瑰园  | 1室1厅 | 33.24平米 | 东 | 简装 | 有电梯', '高楼层(共19层)1999年建塔楼  -  金碧', '135万', '单价40614元/平米')
('https://image1.ljcdn.com/440100-inspection/92c9147c-8ee8-454e-89ff-5bd5c7298865.jpg.296x216.jpg', '壁蓝映居 一线江景房 高层二房 同福一 小', '碧蓝映居  | 2室1厅 | 72平米 | 西北 | 其他 | 有电梯', '低楼层(共30层)2001年建塔楼  -  同福', '400万', '单价55556元/平米')
('https://image1.ljcdn.com/440100-inspection/e6e189dd-65b5-49b1-94a0-f89cd4e86063.jpg.296x216.jpg', '纵横国际公寓 2室1厅 360万', '纵横国际公寓  | 2室1厅 | 75.65平米 | 南 | 精装 | 有电梯', '中楼层(共30层)2012年建塔楼  -  赤岗', '360万', '单价47588元/平米')
('https://image1.ljcdn.com/440100-inspection/9146e351-513f-4f4f-a075-d19c81d07379.jpg.296x216.jpg', '光大花园 配套完善 交通方便 电梯三房', '光大花园榕景四季  | 3室2厅 | 98.1平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2004年建塔楼  -  工业大道北', '550万', '单价56066元/平米')
('https://image1.ljcdn.com/440100-inspection/2c7d71a5-411f-4efd-83f3-4ebabf65eb49.JPG.296x216.jpg', '新理想华庭 南向2房  格局方正实用 保养好', '新理想华庭  | 2室1厅 | 106.34平米 | 南 | 精装 | 有电梯', '高楼层(共21层)2000年建塔楼  -  滨江东', '611万', '单价57458元/平米')
('https://image1.ljcdn.com/440100-inspection/22964683-84f1-4025-afdb-550d464de8fb.jpg.296x216.jpg', '滨江西路 2室1厅 235万', '滨江西路  | 2室1厅 | 63.77平米 | 西 | 简装 | 有电梯', '低楼层(共20层)塔楼  -  滨江西', '235万', '单价36852元/平米')
('https://image1.ljcdn.com/440100-inspection/4cf89b37-283a-4c44-a75d-59f5c3f994e1.JPG.296x216.jpg', '悦安花园 3室2厅 408万', '悦安花园  | 3室2厅 | 88.42平米 | 东 西 | 简装 | 有电梯', '中楼层(共19层)2002年建塔楼  -  昌岗', '408万', '单价46144元/平米')
('https://image1.ljcdn.com/440100-inspection/96330d8d-4b16-45f9-a814-8060f87a6148.JPG.296x216.jpg', '实用温馨单位 配套完善', '福雅居  | 3室1厅 | 94.14平米 | 东 | 精装 | 无电梯', '高楼层(共9层)2001年建塔楼  -  宝岗', '240万', '单价25494元/平米')
('https://image1.ljcdn.com/440100-inspection/9f995bd4-4fe2-40ee-88ab-a64f6fdcf525.jpg.296x216.jpg', '聚德花园 2室1厅 238万', '聚德花园  | 2室1厅 | 68平米 | 南 | 简装 | 无电梯', '低楼层(共9层)1997年建塔楼  -  赤岗', '238万', '单价35000元/平米')
('https://image1.ljcdn.com/440100-inspection/5c5149ef-ef2f-4f08-88b0-eeb332f167a9.jpg.296x216.jpg', '南向三房 装修靓丽 户型方正', '兰亭御园  | 3室2厅 | 123.19平米 | 南 | 精装 | 有电梯', '中楼层(共30层)2008年建塔楼  -  同福', '700万', '单价56823元/平米')
('https://image1.ljcdn.com/440100-inspection/cc5ade04-cca2-4dd5-8d2d-f42c34b6a16f.jpg.296x216.jpg', '雅墩街大院 温馨四房 方正实用 南北对流', '东晓路雅墩街  | 4室2厅 | 87.44平米 | 南 北 | 简装 | 无电梯', '低楼层(共9层)塔楼  -  东晓路', '260万', '单价29735元/平米')
('https://image1.ljcdn.com/440100-inspection/e5dcb7f3-287a-4bd9-96e6-281751514465.jpg.296x216.jpg', '金碧一期 南向明屋 视野好 高层南向望江', '金碧花园第一金碧  | 2室2厅 | 72.1平米 | 南 | 简装 | 有电梯', '中楼层(共32层)2001年建塔楼  -  金碧', '340万', '单价47157元/平米')
('https://image1.ljcdn.com/440100-inspection/595b2e88-72c7-4d49-b6e2-1d14c1419d13.jpg.296x216.jpg', '工业大道南  格局方正 保养好 南向中层', '工业大道南  | 3室1厅 | 75.83平米 | 东北 | 其他 | 无电梯', '中楼层(共8层)1995年建塔楼  -  工业大道南', '215万', '单价28353元/平米')
('https://image1.ljcdn.com/440100-inspection/97b21eb7-b239-4d40-ba63-727cba5c7901.JPG.296x216.jpg', '佳滨苑 2室1厅 460万', '佳滨苑  | 2室1厅 | 72.77平米 | 东南 | 其他', '中楼层(共33层)塔楼  -  前进路', '460万', '单价63213元/平米')
('https://image1.ljcdn.com/440100-inspection/4aaf34bc-5e31-4d80-afdf-cde7ad602442.jpg.296x216.jpg', '龙祥大厦 2房2厅 236万元', '龙祥大厦  | 2室2厅 | 76平米 | 南 | 简装 | 无电梯', '中楼层(共10层)1996年建塔楼  -  赤岗', '236万', '单价31053元/平米')
('https://image1.ljcdn.com/440100-inspection/80dafdf0-46fd-42c7-afd2-8393f4e79603.jpg.296x216.jpg', '倚江楼 3房2厅 360万元', '倚江楼  | 3室2厅 | 98.61平米 | 东 | 其他', '中楼层(共9层)塔楼  -  东晓路', '360万', '单价36508元/平米')
('https://image1.ljcdn.com/440100-inspection/c8682f0f-2475-475b-a9d6-2d3f055bde51.jpg.296x216.jpg', '赤岗路 福景居一房 交通方便 配套完善', '福景居  | 1室1厅 | 40.46平米 | 东北 | 简装 | 无电梯', '高楼层(共9层)1997年建塔楼  -  赤岗', '125万', '单价30895元/平米')
('https://image1.ljcdn.com/440100-inspection/3f162abf-1b72-4419-bc20-f227ef5bb905.jpg.296x216.jpg', '丽园雅庭 装修好 配套完善 交通便利', '丽园雅庭  | 2室2厅 | 74.27平米 | 北 | 简装 | 有电梯', '低楼层(共17层)2007年建塔楼  -  赤岗', '430万', '单价57897元/平米')
('https://image1.ljcdn.com/440100-inspection/34180b1a-e94b-4129-886c-a4666947cd4e.jpg.296x216.jpg', '金碧花园第二金碧 2室2厅 330万', '金碧花园第二金碧  | 2室2厅 | 71.25平米 | 西 | 精装 | 有电梯', '低楼层(共12层)2000年建塔楼  -  金碧', '330万', '单价46316元/平米')
('', '南华西大厦 高层无遮挡 视野开阔', '南华西大厦  | 3室2厅 | 116.64平米 | 东北 | 简装 | 有电梯', '高楼层(共31层)塔楼  -  宝岗', '430万', '单价36866元/平米')
('https://image1.ljcdn.com/440100-inspection/c1922eac-18de-49d3-ac63-ce5e71f62230.jpg.296x216.jpg', '锦丽居南向两房 双阳台户型 业主诚意出售', '锦丽居  | 2室1厅 | 74平米 | 东南 | 简装 | 有电梯', '低楼层(共23层)1999年建塔楼  -  金碧', '325万', '单价43919元/平米')
('https://image1.ljcdn.com/440100-inspection/e47796db-e220-4b95-83fd-7325f3bb3650.jpg.296x216.jpg', '金穗雅园 2室1厅 320万', '金穗雅园  | 2室1厅 | 61.49平米 | 北 | 精装 | 有电梯', '高楼层(共12层)2004年建塔楼  -  广州大道南', '320万', '单价52041元/平米')
('https://image1.ljcdn.com/440100-inspection/564155c2-17f6-4256-9054-c2c4d1a92635.JPG.296x216.jpg', '上渡路电信宿舍 3室2厅 390万', '上渡路电信宿舍  | 3室2厅 | 103平米 | 东南 | 简装 | 无电梯', '中楼层(共9层)1997年建塔楼  -  新港西', '390万', '单价37865元/平米')
('https://image1.ljcdn.com/440100-inspection/6378a6cb-c65c-4104-831b-0b29ea55784e.jpg.296x216.jpg', '草芳围 实用一房一厅', '纺织路  | 1室1厅 | 42.62平米 | 南 北 | 简装 | 无电梯', '高楼层(共5层)板楼  -  滨江中', '150万', '单价35195元/平米')
('https://image1.ljcdn.com/440100-inspection/0d26e2a7-ddc3-46db-9ed3-918bc388b041.JPG.296x216.jpg', '滨江新城市花园 2室2厅 338万', '滨江新城市花园  | 2室2厅 | 83.73平米 | 南 | 其他', '高楼层(共28层)2000年建塔楼  -  滨江中', '338万', '单价40368元/平米')
('https://image1.ljcdn.com/440100-inspection/34c6bd7f-d76f-40b7-9af5-24046d393ce3.jpg.296x216.jpg', '华怡花园 安静小区 楼梯大两房', '华怡花园  | 2室1厅 | 85.64平米 | 北 | 精装 | 无电梯', '高楼层(共9层)1997年建塔楼  -  赤岗', '265万', '单价30944元/平米')
('https://image1.ljcdn.com/440100-inspection/ed2e8101-b858-49fd-b057-54a5f0095c59.jpg.296x216.jpg', '晓港东二马路 2室1厅 150万', '晓港东二马路  | 2室1厅 | 52平米 | 东南 | 其他 | 无电梯', '高楼层(共8层)塔楼  -  新港西', '150万', '单价28847元/平米')
('https://image1.ljcdn.com/440100-inspection/57f14a86-965a-45ce-b0bb-663a91188fb9.JPG.296x216.jpg', '大型成熟社区 环境优美 中高楼层，通风采光好', '珠江广场  | 4室2厅 | 137.8平米 | 南 | 精装 | 有电梯', '低楼层(共16层)2000年建塔楼  -  滨江东', '820万', '单价59507元/平米')
('https://image1.ljcdn.com/440100-inspection/2fe3424d-0adc-4003-9fae-ea3af5d2befe.JPG.296x216.jpg', '嘉仕花园 一房一厅望花园 单边位采光好', '嘉仕花园骏仕阁  | 1室1厅 | 38.45平米 | 西 北 | 简装 | 无电梯', '中楼层(共9层)2003年建塔楼  -  滨江东', '190万', '单价49415元/平米')
('https://image1.ljcdn.com/440100-inspection/c9ec42c4-64d4-4ea3-a15e-a826bff6433a.JPG.296x216.jpg', '亿海湾 3室2厅 540万', '亿海湾  | 3室2厅 | 102.37平米 | 北 | 精装 | 有电梯', '中楼层(共32层)2004年建塔楼  -  滨江西', '540万', '单价52750元/平米')
('', '保利花园 实用两房 装修保养新', '保利花园  | 2室2厅 | 80平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2004年建塔楼  -  工业大道中', '340万', '单价42500元/平米')
('https://image1.ljcdn.com/440100-inspection/493f130d-0577-4fde-9547-dab38c131127.jpg.296x216.jpg', '工业大道南421号大院 2室1厅 160万', '工业大道南421号大院  | 2室1厅 | 49.68平米 | 东 | 简装 | 无电梯', '中楼层(共8层)1992年建塔楼  -  金碧', '160万', '单价32207元/平米')
('https://image1.ljcdn.com/440100-inspection/4c060b83-d8ce-4a3f-87ca-2e6a0f679386.jpg.296x216.jpg', '南洲花苑  低总价两房 安静舒适', '南洲花苑A区  | 2室1厅 | 64.38平米 | 东南 | 简装 | 无电梯', '中楼层(共9层)1993年建塔楼  -  金碧', '200万', '单价31066元/平米')
('https://image1.ljcdn.com/440100-inspection/0efa38e8-ed35-4b3f-8ebe-9f599dfba179.jpg.296x216.jpg', '绿地滨江汇 电梯单间 保养干净', '绿地滨江汇  | 1室1厅 | 60.74平米 | 南 北 | 精装 | 有电梯', '高楼层(共16层)2014年建塔楼  -  工业大道中', '250万', '单价41160元/平米')
('https://image1.ljcdn.com/440100-inspection/b07800eb-0f2b-4ff9-9166-5a396f9c639f.JPG.296x216.jpg', '富景花园 3室2厅 498万', '富景花园  | 3室2厅 | 113.55平米 | 东 | 其他 | 有电梯', '中楼层(共11层)1997年建塔楼  -  新港西', '498万', '单价43858元/平米')
('https://image1.ljcdn.com/440100-inspection/83127275-289b-475c-a0f9-662938f8ce59.jpg.296x216.jpg', '欧式风格，交通枢纽，居住舒适。', '宏宇广场罗马假日  | 2室1厅 | 70.63平米 | 东南 | 简装 | 有电梯', '低楼层(共31层)2000年建塔楼  -  宝岗', '350万', '单价49555元/平米')
('https://image1.ljcdn.com/440100-inspection/2eae7398-91f7-4bc2-b1c6-e641079b8f0c.JPG.296x216.jpg', '前进路聚龙新街 2室1厅 213万', '前进路聚龙新街  | 2室1厅 | 58.82平米 | 南 | 其他 | 无电梯', '高楼层(共7层)塔楼  -  前进路', '213万', '单价36213元/平米')
('https://image1.ljcdn.com/440100-inspection/b9852505-ba81-473f-a10b-7ca6a4713273.jpg.296x216.jpg', '东晓南 合生颐景华苑 南向精美两房', '合生颐景华苑  | 2室2厅 | 88.64平米 | 南 | 精装 | 有电梯', '中楼层(共24层)2005年建塔楼  -  金碧', '460万', '单价51896元/平米')
('https://image1.ljcdn.com/440100-inspection/9b13bcdf-2677-497e-8c8e-6600abba77f6.jpg.296x216.jpg', '柏涛雅苑 欧式住宅小区 大两房厅出阳台', '柏涛雅苑  | 2室2厅 | 81平米 | 西北 | 简装 | 有电梯', '中楼层(共12层)2001年建塔楼  -  昌岗', '445万', '单价54939元/平米')
('https://image1.ljcdn.com/440100-inspection/2f232658-ba53-4cda-ad88-437904b613cb.jpg.296x216.jpg', '顺景雅苑 2室1厅 380万', '顺景雅苑  | 2室1厅 | 76平米 | 北 | 简装 | 有电梯', '中楼层(共13层)2000年建塔楼  -  新港西', '380万', '单价50000元/平米')
('https://image1.ljcdn.com/440100-inspection/f6e33af6-0a67-4761-9a25-f5bdb280272d.jpg.296x216.jpg', '四面通风 采光通透 户型方正实用', '嘉鸿花园金玫瑰园  | 2室2厅 | 68.65平米 | 西北 | 简装 | 有电梯', '高楼层(共19层)1999年建塔楼  -  金碧', '300万', '单价43700元/平米')
('https://image1.ljcdn.com/440100-inspection/36aefe2c-0356-482c-a264-63cc3853eeae.jpg.296x216.jpg', '江燕花园 1室1厅 240万', '江燕花园  | 1室1厅 | 60.88平米 | 东南 | 精装 | 有电梯', '高楼层(共15层)1996年建塔楼  -  江燕路', '240万', '单价39422元/平米')
('https://image1.ljcdn.com/440100-inspection/e483ff30-5fc3-4742-8383-9c0199876d8e.jpg.296x216.jpg', '灏景阁 2室2厅 240万', '灏景阁  | 2室2厅 | 64.64平米 | 南 | 其他 | 无电梯', '高楼层(共10层)1999年建塔楼  -  新港西', '240万', '单价37129元/平米')
('https://image1.ljcdn.com/440100-inspection/cecb456e-de79-41f5-9aff-58e3130fd95d.jpg.296x216.jpg', '银业国际公寓 1室0厅 173万', '银业国际公寓  | 1室0厅 | 43平米 | 北 | 精装 | 有电梯', '低楼层(共29层)2009年建塔楼  -  广州大道南', '173万', '单价40233元/平米')
('https://image1.ljcdn.com/440100-inspection/e5aae03b-32ba-4b19-8feb-dc9ce81fb9fc.jpg.296x216.jpg', '金盛大厦 1室0厅 210万', '金盛大厦  | 1室0厅 | 45.26平米 | 西南 | 精装 | 有电梯', '中楼层(共23层)2005年建塔楼  -  昌岗', '210万', '单价46399元/平米')
('https://image1.ljcdn.com/440100-inspection/67369c01-f6ac-4aab-aaa1-515b39d7da12.JPG.296x216.jpg', '源海御苑 3室2厅 480万', '源海御苑  | 3室2厅 | 112.31平米 | 北 | 精装 | 有电梯', '低楼层(共31层)2012年建塔楼  -  工业大道北', '480万', '单价42739元/平米')
('https://image1.ljcdn.com/440100-inspection/5a0eee54-a63a-4291-93f8-f6a65c4ae9a5.JPG.296x216.jpg', '成熟小区 温馨电梯大三房 格局方正 实用单位', '建基路电信大厦  | 3室2厅 | 118.93平米 | 南 | 其他', '低楼层(共28层)塔楼  -  东晓路', '500万', '单价42042元/平米')
('https://image1.ljcdn.com/440100-inspection/1947569d-a9da-4bb8-88bc-43da43ab06f4.jpg.296x216.jpg', '保利花园 3室2厅 425万', '保利花园  | 3室2厅 | 87.81平米 | 东南 | 其他 | 有电梯', '中楼层(共18层)2000年建塔楼  -  工业大道中', '425万', '单价48400元/平米')
('https://image1.ljcdn.com/440100-inspection/24401a7d-fb01-477e-90f0-41b8978d66ec.jpg.296x216.jpg', '丰盈居 2室2厅 435万', '丰盈居  | 2室2厅 | 82平米 | 南 | 精装 | 有电梯', '低楼层(共23层)2002年建塔楼  -  滨江东', '435万', '单价53049元/平米')
('https://image1.ljcdn.com/440100-inspection/d4bef22e-d47c-4bb4-af6a-9efe5ab32335.jpg.296x216.jpg', '鹭江地铁，敦和花园，可改三房，格局方正', '敦和花园  | 2室1厅 | 71平米 | 南 | 简装 | 无电梯', '低楼层(共9层)1998年建塔楼  -  广州大道南', '250万', '单价35212元/平米')
('https://image1.ljcdn.com/440100-inspection/5a84f748-5428-4114-a0a2-1b6a6126f26a.JPG.296x216.jpg', '凤凰新村二街 2室1厅 190万', '凤凰新村二街  | 2室1厅 | 54.04平米 | 东南 | 简装 | 无电梯', '高楼层(共9层)2000年建塔楼  -  工业大道北', '190万', '单价35160元/平米')
('https://image1.ljcdn.com/440100-inspection/13a1c0b7-a541-43d4-bca1-502a3b85173d.JPG.296x216.jpg', '明珠东苑 2室2厅 252万', '明珠东苑  | 2室2厅 | 58.75平米 | 南 北 | 精装', '低楼层(共9层)1998年建塔楼  -  东晓路', '252万', '单价42894元/平米')
('https://image1.ljcdn.com/440100-inspection/5f7801b4-0ddc-4099-a37e-4aa432563e08.JPG.296x216.jpg', '珠光高派 电梯一房一厅 保养新净', '珠光高派华庭  | 1室1厅 | 52.49平米 | 北 | 简装 | 有电梯', '中楼层(共31层)2006年建塔楼  -  滨江东', '310万', '单价59059元/平米')
('https://image1.ljcdn.com/440100-inspection/466961c2-5610-4697-aa50-0ddadc261d4f.JPG.296x216.jpg', '愉景南苑 3室2厅 500万', '愉景南苑  | 3室2厅 | 98.93平米 | 北 | 精装 | 有电梯', '低楼层(共19层)2002年建塔楼  -  新港西', '500万', '单价50541元/平米')
('https://image1.ljcdn.com/440100-inspection/77bf3868-9713-41a4-a4d7-c46ec714529c.jpg.296x216.jpg', '中层南向两房 视野开阔 诚心出售随时可看', '海天花苑  | 2室1厅 | 70.81平米 | 南 | 简装 | 有电梯', '中楼层(共35层)2004年建塔楼  -  滨江东', '320万', '单价45192元/平米')
('https://image1.ljcdn.com/440100-inspection/ef237929-e1d1-4b7c-9b00-3b357f2be418.jpg.296x216.jpg', '翠城花园 2室2厅 520万', '翠城花园  | 2室2厅 | 88平米 | 南 | 其他 | 有电梯', '中楼层(共33层)2009年建塔楼  -  江燕路', '520万', '单价59091元/平米')
('https://image1.ljcdn.com/440100-inspection/d45f71f3-c384-41fe-8a7e-6926e531d753.jpg.296x216.jpg', '晓城大厦 舒适五房 采光通风佳', '晓港湾晓城大厦  | 5室2厅 | 127平米 | 东 | 简装 | 有电梯', '低楼层(共32层)2005年建塔楼  -  金碧', '510万', '单价40158元/平米')
('https://image1.ljcdn.com/440100-inspection/14fa09b0-83b3-4f0b-badc-73aac14a9089.jpg.296x216.jpg', '叠彩园 实用三房 双阳台', '叠彩园  | 3室1厅 | 91.41平米 | 北 | 简装 | 有电梯', '低楼层(共12层)2002年建塔楼  -  广州大道南', '410万', '单价44853元/平米')
('https://image1.ljcdn.com/440100-inspection/ebee8660-53f4-48b9-a4d4-31b9ec142048.JPG.296x216.jpg', '浪琴居 2室1厅 408万', '浪琴居  | 2室1厅 | 66.78平米 | 北 | 精装 | 有电梯', '高楼层(共28层)2010年建塔楼  -  滨江东', '408万', '单价61097元/平米')
('https://image1.ljcdn.com/440100-inspection/2e2405b0-3d43-48ac-91c4-5537488bcfbd.jpg.296x216.jpg', '实用两房 配套完善良好', '江南嘉居  | 2室2厅 | 69.16平米 | 南 北 | 简装 | 无电梯', '中楼层(共9层)1995年建塔楼  -  宝岗', '235万', '单价33980元/平米')
('https://image1.ljcdn.com/440100-inspection/1f118947-2213-4d6a-ab51-be5cb6fb40da.jpg.296x216.jpg', '工业大道南425号大院 2室2厅 200万', '工业大道南425号大院  | 2室2厅 | 57.11平米 | 西南 | 其他 | 无电梯', '中楼层(共9层)1992年建塔楼  -  金碧', '200万', '单价35021元/平米')
('https://image1.ljcdn.com/440100-inspection/bcb6e110-de05-4812-98fb-b6ec84f7aeb3.jpg.296x216.jpg', '朗晴居二期 毛坯大户型 诚意出售', '朗晴居二期  | 7室1厅 | 313平米 | 南 北 | 毛坯 | 有电梯', '高楼层(共32层)2000年建塔楼  -  滨江中', '1600万', '单价51119元/平米')
('https://image1.ljcdn.com/440100-inspection/f771b504-4306-4a9d-bc43-176a6659cd59.JPG.296x216.jpg', '南华花园 电梯两房 朝向观景舒适 诚意放卖', '南华花园  | 2室1厅 | 81.13平米 | 西南 | 简装 | 有电梯', '中楼层(共23层)1998年建塔楼  -  新港西', '300万', '单价36978元/平米')
('https://image1.ljcdn.com/440100-inspection/095aa00b-06fe-4086-a7b1-1451125e5f5f.jpg.296x216.jpg', '实用温馨单位 配套完善', '弘基广场  | 2室2厅 | 54.87平米 | 南 | 简装 | 有电梯', '低楼层(共26层)2002年建塔楼  -  工业大道北', '250万', '单价45563元/平米')
('https://image1.ljcdn.com/440100-inspection/31dc072f-48c4-4147-9e79-6b37522d66ee.jpg.296x216.jpg', '海天花苑 南向三房出售', '海天花苑  | 3室1厅 | 93平米 | 南 | 简装', '中楼层(共32层)2004年建塔楼  -  滨江东', '375万', '单价40323元/平米')
('https://image1.ljcdn.com/440100-inspection/5ce725b2-e895-473b-a494-4f83fd3cd88c.jpg.296x216.jpg', '益丰花园 1室1厅 132万', '益丰花园  | 1室1厅 | 35平米 | 南 | 简装 | 无电梯', '低楼层(共9层)2005年建塔楼  -  前进路', '132万', '单价37715元/平米')
('https://image1.ljcdn.com/440100-inspection/9ca084db-7bc7-4b7a-99af-28c1dd5285fe.jpg.296x216.jpg', '荔福路 三房出售', '荔福路  | 3室1厅 | 70平米 | 南 | 简装', '高楼层(共7层)塔楼  -  工业大道北', '196万', '单价28000元/平米')
('https://image1.ljcdn.com/440100-inspection/45c31fc5-a15a-469c-8758-16dfc351ece6.jpg.296x216.jpg', '业主诚意出售', '昌岗东电信大厦  | 3室2厅 | 105平米 | 西北 | 其他 | 有电梯', '中楼层(共28层)1999年建塔楼  -  昌岗', '410万', '单价39048元/平米')
('https://image1.ljcdn.com/440100-inspection/d6e47cfe-3f0e-4bb2-a4e1-0a765521d7ea.JPG.296x216.jpg', '业主诚意出售', '祈乐苑  | 2室2厅 | 73.7平米 | 北 | 精装 | 无电梯', '低楼层(共9层)1999年建塔楼  -  新港西', '318万', '单价43148元/平米')
('https://image1.ljcdn.com/440100-inspection/bb3af9dc-2875-4bc7-811e-a1bb9b083ef4.jpg.296x216.jpg', '万寿路 2室1厅 268万', '万寿路  | 2室1厅 | 72.04平米 | 北 | 其他 | 无电梯', '中楼层(共9层)塔楼  -  前进路', '268万', '单价37202元/平米')
('https://image1.ljcdn.com/440100-inspection/8da2cd97-f78b-4bb9-ba71-0fd1538ab2fe.JPG.296x216.jpg', '温馨单位 采光通风', '前进路基立北街  | 3室1厅 | 65.82平米 | 东北 | 简装 | 无电梯', '低楼层(共9层)1997年建塔楼  -  前进路', '278万', '单价42237元/平米')
('https://image1.ljcdn.com/440100-inspection/1aafe800-31af-4495-8574-3c152c69edd1.jpg.296x216.jpg', '罗马家园 3室2厅 540万', '罗马家园  | 3室2厅 | 125平米 | 东南 | 简装 | 有电梯', '中楼层(共28层)2007年建塔楼  -  南洲', '540万', '单价43200元/平米')
('https://image1.ljcdn.com/440100-inspection/af83eb05-06ba-4ce2-abd4-9b237c281bc6.jpg.296x216.jpg', '德盛苑电梯两房 方正实用', '德盛苑  | 2室2厅 | 59.87平米 | 西南 | 其他 | 有电梯', '高楼层(共9层)2001年建塔楼  -  广州大道南', '236万', '单价39419元/平米')
('https://image1.ljcdn.com/440100-inspection/b7ed146a-5a86-4aaa-8e8d-f7a1dba9890f.JPG.296x216.jpg', '芭堤水岸，电梯3房带主套，厅出阳台', '芭堤水岸  | 3室2厅 | 136平米 | 北 | 简装 | 有电梯', '低楼层(共32层)2005年建塔楼  -  滨江东', '800万', '单价58824元/平米')
('https://image1.ljcdn.com/440100-inspection/713cbc1c-2d58-4977-af75-247c31bd5378.jpg.296x216.jpg', '保利丰花园 精致小单位 中层采光通风好', '保利丰花园  | 1室1厅 | 32.88平米 | 南 | 简装 | 有电梯', '低楼层(共32层)1997年建塔楼  -  宝岗', '143万', '单价43492元/平米')
('https://image1.ljcdn.com/440100-inspection/6dce6958-8883-45eb-912e-d7f4b1c42ab4.JPG.296x216.jpg', '珠江新岸 户型方正 高楼层 视野开阔', '珠江新岸公寓  | 1室1厅 | 52.51平米 | 西南 | 精装 | 有电梯', '高楼层(共32层)2009年建塔楼  -  滨江东', '280万', '单价53324元/平米')
('https://image1.ljcdn.com/440100-inspection/459102ac-f385-486a-84c2-6c735c5d1a79.JPG.296x216.jpg', '客村地铁 东南向 低层两房  安静小区', '赤岗西路横二街  | 2室1厅 | 64.13平米 | 东南 | 简装 | 无电梯', '低楼层(共9层)塔楼  -  赤岗', '210万', '单价32746元/平米')
('https://image1.ljcdn.com/440100-inspection/be366bce-6ac1-4cd1-ad01-f85eaa208f60.jpg.296x216.jpg', '尚领时代 方正3房 装修保养好', '尚领时代  | 3室2厅 | 93.36平米 | 南 北 | 精装 | 有电梯', '低楼层(共19层)2006年建塔楼  -  金碧', '395万', '单价42310元/平米')
('https://image1.ljcdn.com/440100-inspection/d05b62f6-d408-4ba5-90c5-b20b298f55a1.jpg.296x216.jpg', '学林华轩 电梯小高层 东南向实用三房', '学林华轩1  | 3室2厅 | 98.34平米 | 南 | 简装', '高楼层(共26层)塔楼  -  宝岗', '450万', '单价45760元/平米')
('https://image1.ljcdn.com/440100-inspection/fa4ab33d-3a2e-4558-b824-327e430b5870.jpg.296x216.jpg', '万华花园 证过五年 精装修', '万华花园  | 3室2厅 | 118.97平米 | 南 | 精装 | 无电梯', '中楼层(共9层)2005年建塔楼  -  金碧', '385万', '单价32362元/平米')
('https://image1.ljcdn.com/440100-inspection/2a27bab1-fbda-489a-8912-4ddd632a822d.jpg.296x216.jpg', '新凤凰后街 温馨一房', '滨江东路新凤凰后街  | 1室1厅 | 41平米 | 北 | 简装 | 无电梯', '高楼层(共6层)2000年建塔楼  -  滨江东', '135万', '单价32927元/平米')
('https://image1.ljcdn.com/440100-inspection/949a5fab-d636-43b2-88f5-07d5d0c45f7a.jpg.296x216.jpg', '万华花园 三房两厅 诚意出售', '万华花园  | 3室2厅 | 75.59平米 | 东 | 其他 | 无电梯', '中楼层(共8层)2005年建塔楼  -  金碧', '260万', '单价34397元/平米')
